trading_date,RU_total_oi
2015-10-20,334602.0
2015-10-21,362186.0
2015-10-22,357670.0
2015-10-23,352396.0
2015-10-26,385368.0
2015-10-27,386120.0
2015-10-28,389614.0
2015-10-29,390172.0
2015-10-30,392212.0
2015-11-02,390484.0
2015-11-03,421568.0
2015-11-04,408288.0
2015-11-05,420672.0
2015-11-06,408228.0
2015-11-09,401906.0
2015-11-10,404932.0
2015-11-11,398478.0
2015-11-12,397748.0
2015-11-13,375122.0
2015-11-16,407436.0
2015-11-17,395502.0
2015-11-18,396442.0
2015-11-19,402428.0
2015-11-20,392070.0
2015-11-23,385700.0
2015-11-24,384462.0
2015-11-25,367552.0
2015-11-26,351822.0
2015-11-27,345470.0
2015-11-30,340752.0
2015-12-01,343044.0
2015-12-02,347436.0
2015-12-03,345740.0
2015-12-04,348404.0
2015-12-07,366502.0
2015-12-08,351454.0
2015-12-09,355090.0
2015-12-10,386424.0
2015-12-11,362506.0
2015-12-14,361194.0
2015-12-15,348898.0
2015-12-16,350078.0
2015-12-17,361574.0
2015-12-18,354864.0
2015-12-21,375510.0
2015-12-22,379650.0
2015-12-23,379228.0
2015-12-24,374934.0
2015-12-25,373936.0
2015-12-28,362472.0
2015-12-29,359000.0
2015-12-30,365696.0
2015-12-31,357782.0
2016-01-04,380362.0
2016-01-05,392594.0
2016-01-06,404602.0
2016-01-07,387892.0
2016-01-08,381124.0
2016-01-11,409228.0
2016-01-12,405062.0
2016-01-13,384706.0
2016-01-14,384976.0
2016-01-15,383370.0
2016-01-18,346374.0
2016-01-19,339484.0
2016-01-20,337904.0
2016-01-21,346150.0
2016-01-22,342958.0
2016-01-25,348632.0
2016-01-26,355006.0
2016-01-27,357392.0
2016-01-28,357258.0
2016-01-29,348262.0
2016-02-01,346920.0
2016-02-02,346260.0
2016-02-03,345336.0
2016-02-04,333224.0
2016-02-05,313710.0
2016-02-15,358886.0
2016-02-16,376824.0
2016-02-17,374136.0
2016-02-18,385416.0
2016-02-19,407180.0
2016-02-22,419846.0
2016-02-23,410220.0
2016-02-24,405806.0
2016-02-25,411844.0
2016-02-26,400426.0
2016-02-29,409486.0
2016-03-01,421694.0
2016-03-02,431742.0
2016-03-03,440860.0
2016-03-04,456664.0
2016-03-07,418336.0
2016-03-08,402542.0
2016-03-09,389796.0
2016-03-10,397528.0
2016-03-11,397218.0
2016-03-14,406044.0
2016-03-15,397894.0
2016-03-16,400718.0
2016-03-17,420628.0
2016-03-18,415082.0
2016-03-21,426380.0
2016-03-22,441106.0
2016-03-23,438586.0
2016-03-24,407504.0
2016-03-25,410964.0
2016-03-28,405772.0
2016-03-29,445436.0
2016-03-30,446072.0
2016-03-31,434940.0
2016-04-01,417146.0
2016-04-05,441598.0
2016-04-06,427090.0
2016-04-07,432922.0
2016-04-08,421912.0
2016-04-11,454212.0
2016-04-12,464264.0
2016-04-13,435620.0
2016-04-14,436756.0
2016-04-15,427486.0
2016-04-18,433596.0
2016-04-19,423578.0
2016-04-20,422712.0
2016-04-21,416862.0
2016-04-22,383950.0
2016-04-25,380726.0
2016-04-26,379312.0
2016-04-27,384548.0
2016-04-28,369512.0
2016-04-29,374632.0
2016-05-03,407416.0
2016-05-04,394956.0
2016-05-05,416338.0
2016-05-06,399784.0
2016-05-09,393420.0
2016-05-10,376794.0
2016-05-11,389758.0
2016-05-12,398648.0
2016-05-13,389412.0
2016-05-16,397206.0
2016-05-17,374148.0
2016-05-18,395286.0
2016-05-19,406450.0
2016-05-20,415454.0
2016-05-23,413200.0
2016-05-24,417588.0
2016-05-25,420500.0
