trading_date,FU_total_oi
2020-12-10,597071.0
2020-12-11,556779.0
2020-12-14,548794.0
2020-12-15,521303.0
2020-12-16,533778.0
2020-12-17,599297.0
2020-12-18,559041.0
2020-12-21,545466.0
2020-12-22,522851.0
2020-12-23,496802.0
2020-12-24,485825.0
2020-12-25,456147.0
2020-12-28,462621.0
2020-12-29,449822.0
2020-12-30,463461.0
2020-12-31,441258.0
2021-01-04,476169.0
2021-01-05,526519.0
2021-01-06,497567.0
2021-01-07,537043.0
2021-01-08,542765.0
2021-01-11,497391.0
2021-01-12,491069.0
2021-01-13,507181.0
2021-01-14,490710.0
2021-01-15,493716.0
2021-01-18,493244.0
2021-01-19,482248.0
2021-01-20,488302.0
2021-01-21,496155.0
2021-01-22,531503.0
2021-01-25,533642.0
2021-01-26,554038.0
2021-01-27,509965.0
2021-01-28,480871.0
2021-01-29,448837.0
2021-02-01,456117.0
2021-02-02,454197.0
2021-02-03,462971.0
2021-02-04,464557.0
2021-02-05,453465.0
2021-02-08,457609.0
2021-02-09,439497.0
2021-02-10,381219.0
2021-02-18,377744.0
2021-02-19,393529.0
2021-02-22,399770.0
2021-02-23,406066.0
2021-02-24,402863.0
2021-02-25,409685.0
2021-02-26,383496.0
2021-03-01,369307.0
2021-03-02,375441.0
2021-03-03,373899.0
2021-03-04,350981.0
2021-03-05,384065.0
2021-03-08,396284.0
2021-03-09,361605.0
2021-03-10,347219.0
2021-03-11,338654.0
2021-03-12,343366.0
2021-03-15,355762.0
2021-03-16,340336.0
2021-03-17,342702.0
2021-03-18,336749.0
2021-03-19,361125.0
2021-03-22,343027.0
2021-03-23,340497.0
2021-03-24,370600.0
2021-03-25,360419.0
2021-03-26,345193.0
2021-03-29,334111.0
2021-03-30,324429.0
2021-03-31,317959.0
2021-04-01,346913.0
2021-04-02,323391.0
2021-04-06,364572.0
2021-04-07,408153.0
2021-04-08,440759.0
2021-04-09,434246.0
2021-04-12,450884.0
2021-04-13,389418.0
2021-04-14,369227.0
2021-04-15,405321.0
2021-04-16,427852.0
2021-04-19,444708.0
2021-04-20,443083.0
2021-04-21,428052.0
2021-04-22,404714.0
2021-04-23,396481.0
2021-04-26,399002.0
2021-04-27,386775.0
2021-04-28,370814.0
2021-04-29,361257.0
2021-04-30,330896.0
2021-05-06,364187.0
2021-05-07,387311.0
2021-05-10,399190.0
2021-05-11,394309.0
2021-05-12,402415.0
2021-05-13,377292.0
2021-05-14,405286.0
2021-05-17,380737.0
2021-05-18,389654.0
2021-05-19,446093.0
2021-05-20,451055.0
2021-05-21,481280.0
2021-05-24,437800.0
2021-05-25,401513.0
2021-05-26,393698.0
2021-05-27,386330.0
2021-05-28,371643.0
2021-05-31,361017.0
2021-06-01,387020.0
2021-06-02,381870.0
2021-06-03,440519.0
2021-06-04,471973.0
2021-06-07,438083.0
2021-06-08,415722.0
2021-06-09,465795.0
2021-06-10,398987.0
2021-06-11,370501.0
2021-06-15,408782.0
2021-06-16,495091.0
2021-06-17,458083.0
2021-06-18,414602.0
2021-06-21,421055.0
2021-06-22,455256.0
2021-06-23,498385.0
2021-06-24,482375.0
2021-06-25,466346.0
2021-06-28,448195.0
2021-06-29,419540.0
2021-06-30,402554.0
2021-07-01,386686.0
2021-07-02,369179.0
2021-07-05,402550.0
2021-07-06,399121.0
2021-07-07,402006.0
2021-07-08,406475.0
2021-07-09,373693.0
2021-07-12,350212.0
2021-07-13,331711.0
2021-07-14,323504.0
2021-07-15,322489.0
2021-07-16,352270.0
2021-07-19,365209.0
2021-07-20,402645.0
2021-07-21,393370.0
2021-07-22,357739.0
2021-07-23,327318.0
2021-07-26,307770.0
2021-07-27,305930.0
2021-07-28,313598.0
2021-07-29,304325.0
2021-07-30,294718.0
2021-08-02,283880.0
2021-08-03,301953.0
2021-08-04,293698.0
2021-08-05,335982.0
2021-08-06,314155.0
2021-08-09,314048.0
2021-08-10,311305.0
2021-08-11,311752.0
2021-08-12,293958.0
2021-08-13,286601.0
2021-08-16,327538.0
2021-08-17,373634.0
2021-08-18,355815.0
2021-08-19,373708.0
2021-08-20,371578.0
2021-08-23,365098.0
2021-08-24,345736.0
2021-08-25,322146.0
2021-08-26,317758.0
2021-08-27,336117.0
2021-08-30,332156.0
2021-08-31,348900.0
2021-09-01,338977.0
2021-09-02,311987.0
2021-09-03,341046.0
2021-09-06,328522.0
2021-09-07,331967.0
2021-09-08,345540.0
2021-09-09,345325.0
2021-09-10,309277.0
2021-09-13,375609.0
2021-09-14,387662.0
2021-09-15,375039.0
2021-09-16,352873.0
2021-09-17,353163.0
2021-09-22,436055.0
2021-09-23,478585.0
2021-09-24,485692.0
2021-09-27,487092.0
2021-09-28,545064.0
2021-09-29,476338.0
2021-09-30,424527.0
2021-10-08,415418.0
2021-10-11,447644.0
2021-10-12,426543.0
2021-10-13,393596.0
2021-10-14,382625.0
2021-10-15,384702.0
2021-10-18,388297.0
2021-10-19,373208.0
2021-10-20,365388.0
2021-10-21,337926.0
2021-10-22,319185.0
2021-10-25,303285.0
2021-10-26,296267.0
2021-10-27,297089.0
2021-10-28,266983.0
2021-10-29,256465.0
2021-11-01,261690.0
2021-11-02,289879.0
2021-11-03,296756.0
2021-11-04,323547.0
2021-11-05,317112.0
2021-11-08,343338.0
2021-11-09,330118.0
2021-11-10,339331.0
2021-11-11,318459.0
2021-11-12,309039.0
2021-11-15,329420.0
2021-11-16,344440.0
2021-11-17,328113.0
2021-11-18,343392.0
2021-11-19,356753.0
2021-11-22,378254.0
2021-11-23,388750.0
2021-11-24,404146.0
2021-11-25,384450.0
2021-11-26,357456.0
2021-11-29,387836.0
2021-11-30,392403.0
2021-12-01,404927.0
2021-12-02,417226.0
2021-12-03,524026.0
2021-12-06,473104.0
2021-12-07,463389.0
2021-12-08,460745.0
2021-12-09,485264.0
2021-12-10,492119.0
2021-12-13,508057.0
2021-12-14,497240.0
2021-12-15,499928.0
2021-12-16,469880.0
2021-12-17,472362.0
2021-12-20,506472.0
2021-12-21,487555.0
2021-12-22,498108.0
2021-12-23,522634.0
2021-12-24,488815.0
2021-12-27,513905.0
2021-12-28,526881.0
2021-12-29,514786.0
2021-12-30,522445.0
2021-12-31,493517.0
2022-01-04,480255.0
2022-01-05,521414.0
2022-01-06,495612.0
2022-01-07,545620.0
2022-01-10,520771.0
2022-01-11,485720.0
2022-01-12,508673.0
2022-01-13,497181.0
2022-01-14,516490.0
2022-01-17,530616.0
2022-01-18,534546.0
2022-01-19,550057.0
2022-01-20,526836.0
2022-01-21,535989.0
2022-01-24,513213.0
2022-01-25,503830.0
2022-01-26,481039.0
2022-01-27,494839.0
2022-01-28,431965.0
2022-02-07,449091.0
2022-02-08,465507.0
2022-02-09,445134.0
2022-02-10,438818.0
2022-02-11,469821.0
2022-02-14,482110.0
2022-02-15,491528.0
2022-02-16,491567.0
2022-02-17,504530.0
2022-02-18,502213.0
2022-02-21,516773.0
2022-02-22,507229.0
2022-02-23,490254.0
2022-02-24,529953.0
2022-02-25,530878.0
2022-02-28,483294.0
2022-03-01,451183.0
2022-03-02,520186.0
2022-03-03,537019.0
2022-03-04,577573.0
2022-03-07,548054.0
2022-03-08,541376.0
2022-03-09,537145.0
2022-03-10,475512.0
2022-03-11,496349.0
2022-03-14,442793.0
2022-03-15,470270.0
2022-03-16,449631.0
