trading_date,M_total_oi
2018-01-16,2439760.0
2018-01-17,2471550.0
2018-01-18,2459430.0
2018-01-19,2490920.0
2018-01-22,2419358.0
2018-01-23,2440918.0
2018-01-24,2471434.0
2018-01-25,2470546.0
2018-01-26,2489012.0
2018-01-29,2559200.0
2018-01-30,2568154.0
2018-01-31,2541822.0
2018-02-01,2580462.0
2018-02-02,2584032.0
2018-02-05,2574022.0
2018-02-06,2646836.0
2018-02-07,2664880.0
2018-02-08,2671136.0
2018-02-09,2626092.0
2018-02-12,2698586.0
2018-02-13,2655328.0
2018-02-14,2628762.0
2018-02-22,2657428.0
2018-02-23,2800408.0
2018-02-26,2919792.0
2018-02-27,2944800.0
2018-02-28,3129136.0
2018-03-01,3357146.0
2018-03-02,3479482.0
2018-03-05,3476036.0
2018-03-06,3625352.0
2018-03-07,3854374.0
2018-03-08,3862580.0
2018-03-09,3898494.0
2018-03-12,3739650.0
2018-03-13,3724762.0
2018-03-14,3745362.0
2018-03-15,3796776.0
2018-03-16,4021196.0
2018-03-19,3909370.0
2018-03-20,3873734.0
2018-03-21,3897330.0
2018-03-22,3937804.0
2018-03-23,3872780.0
2018-03-26,3832140.0
