trading_date,OI_total_oi
2016-02-03,224258.0
2016-02-04,215452.0
2016-02-05,210436.0
2016-02-15,209226.0
2016-02-16,230854.0
2016-02-17,231010.0
2016-02-18,234872.0
2016-02-19,259208.0
2016-02-22,265150.0
2016-02-23,265258.0
2016-02-24,265830.0
2016-02-25,263028.0
2016-02-26,269000.0
2016-02-29,265714.0
2016-03-01,272126.0
2016-03-02,282292.0
2016-03-03,268922.0
2016-03-04,265088.0
2016-03-07,262178.0
2016-03-08,261354.0
2016-03-09,250374.0
2016-03-10,253290.0
2016-03-11,259330.0
2016-03-14,249196.0
2016-03-15,243932.0
2016-03-16,246044.0
2016-03-17,257650.0
2016-03-18,263778.0
2016-03-21,268488.0
2016-03-22,272950.0
2016-03-23,274488.0
2016-03-24,266084.0
2016-03-25,267706.0
2016-03-28,271104.0
2016-03-29,270342.0
2016-03-30,277330.0
2016-03-31,275876.0
2016-04-01,292406.0
2016-04-05,301546.0
2016-04-06,297246.0
2016-04-07,309452.0
2016-04-08,308842.0
2016-04-11,338050.0
2016-04-12,353964.0
2016-04-13,362270.0
2016-04-14,361906.0
2016-04-15,369614.0
2016-04-18,387676.0
2016-04-19,373506.0
2016-04-20,377744.0
2016-04-21,398618.0
2016-04-22,384144.0
2016-04-25,406074.0
2016-04-26,407168.0
2016-04-27,413600.0
2016-04-28,404134.0
2016-04-29,398778.0
2016-05-03,401704.0
2016-05-04,419790.0
2016-05-05,409800.0
2016-05-06,405762.0
2016-05-09,411710.0
2016-05-10,391644.0
2016-05-11,405108.0
2016-05-12,413288.0
2016-05-13,399734.0
2016-05-16,370406.0
2016-05-17,369570.0
2016-05-18,377736.0
2016-05-19,372638.0
2016-05-20,376340.0
2016-05-23,345786.0
2016-05-24,343302.0
2016-05-25,344988.0
2016-05-26,350976.0
2016-05-27,349228.0
2016-05-30,316910.0
2016-05-31,294804.0
2016-06-01,304036.0
2016-06-02,296004.0
2016-06-03,296214.0
2016-06-06,300434.0
2016-06-07,311442.0
2016-06-08,301604.0
2016-06-13,302730.0
2016-06-14,295266.0
2016-06-15,294992.0
2016-06-16,296862.0
2016-06-17,290292.0
2016-06-20,284404.0
2016-06-21,291850.0
2016-06-22,298980.0
2016-06-23,300996.0
2016-06-24,294316.0
2016-06-27,292548.0
2016-06-28,290630.0
2016-06-29,296314.0
2016-06-30,319836.0
2016-07-01,326872.0
2016-07-04,378778.0
2016-07-05,407084.0
2016-07-06,372330.0
2016-07-07,357638.0
2016-07-08,361920.0
2016-07-11,359270.0
2016-07-12,355128.0
2016-07-13,374706.0
2016-07-14,381422.0
2016-07-15,383718.0
2016-07-18,395232.0
2016-07-19,401998.0
2016-07-20,404072.0
2016-07-21,410106.0
2016-07-22,396388.0
2016-07-25,377860.0
2016-07-26,364034.0
2016-07-27,354402.0
2016-07-28,342902.0
2016-07-29,329934.0
2016-08-01,325724.0
2016-08-02,318474.0
2016-08-03,316686.0
2016-08-04,310500.0
2016-08-05,316534.0
2016-08-08,311100.0
2016-08-09,310980.0
2016-08-10,313742.0
2016-08-11,310282.0
2016-08-12,315332.0
2016-08-15,307288.0
2016-08-16,306306.0
2016-08-17,307574.0
2016-08-18,309612.0
2016-08-19,311932.0
2016-08-22,310378.0
2016-08-23,312516.0
2016-08-24,311356.0
2016-08-25,293206.0
2016-08-26,286918.0
2016-08-29,284850.0
2016-08-30,284062.0
2016-08-31,274770.0
2016-09-01,269810.0
2016-09-02,269430.0
2016-09-05,274070.0
2016-09-06,278082.0
2016-09-07,273364.0
2016-09-08,276276.0
2016-09-09,275996.0
2016-09-12,279846.0
2016-09-13,283088.0
2016-09-14,260794.0
2016-09-19,263566.0
2016-09-20,251580.0
2016-09-21,252404.0
2016-09-22,259658.0
2016-09-23,264600.0
2016-09-26,266088.0
2016-09-27,260470.0
2016-09-28,245898.0
2016-09-29,241466.0
2016-09-30,234830.0
2016-10-10,251442.0
2016-10-11,272468.0
2016-10-12,294914.0
2016-10-13,304668.0
2016-10-14,308150.0
2016-10-17,328064.0
2016-10-18,362002.0
2016-10-19,407970.0
2016-10-20,441612.0
2016-10-21,464788.0
2016-10-24,490834.0
2016-10-25,491050.0
2016-10-26,484036.0
2016-10-27,488844.0
2016-10-28,486814.0
2016-10-31,490994.0
2016-11-01,490884.0
2016-11-02,476248.0
2016-11-03,479988.0
2016-11-04,467268.0
2016-11-07,470664.0
2016-11-08,485102.0
2016-11-09,488400.0
2016-11-10,486262.0
2016-11-11,477570.0
2016-11-14,435202.0
2016-11-15,428862.0
2016-11-16,438038.0
2016-11-17,438018.0
2016-11-18,430740.0
2016-11-21,432478.0
2016-11-22,434282.0
2016-11-23,443562.0
2016-11-24,430798.0
2016-11-25,489310.0
2016-11-28,504410.0
2016-11-29,488668.0
2016-11-30,546678.0
2016-12-01,538148.0
2016-12-02,512200.0
2016-12-05,513870.0
2016-12-06,513930.0
2016-12-07,502320.0
2016-12-08,479254.0
2016-12-09,440766.0
2016-12-12,437920.0
2016-12-13,432384.0
2016-12-14,432104.0
2016-12-15,420716.0
2016-12-16,404390.0
2016-12-19,407186.0
2016-12-20,375842.0
2016-12-21,371292.0
2016-12-22,359452.0
2016-12-23,330512.0
2016-12-26,313048.0
2016-12-27,308616.0
2016-12-28,313402.0
2016-12-29,313728.0
2016-12-30,310286.0
2017-01-03,318618.0
2017-01-04,326120.0
2017-01-05,325062.0
2017-01-06,342336.0
2017-01-09,344042.0
2017-01-10,343510.0
2017-01-11,348386.0
2017-01-12,349228.0
2017-01-13,350126.0
2017-01-16,337496.0
2017-01-17,334142.0
2017-01-18,337846.0
2017-01-19,339878.0
2017-01-20,340386.0
2017-01-23,336990.0
2017-01-24,338548.0
2017-01-25,350284.0
2017-01-26,350554.0
2017-02-03,355494.0
2017-02-06,351044.0
2017-02-07,360062.0
2017-02-08,366314.0
2017-02-09,365402.0
2017-02-10,378076.0
2017-02-13,383880.0
2017-02-14,395416.0
2017-02-15,405466.0
2017-02-16,416862.0
2017-02-17,424496.0
2017-02-20,421698.0
2017-02-21,425964.0
2017-02-22,426366.0
2017-02-23,430214.0
2017-02-24,431264.0
2017-02-27,428862.0
2017-02-28,433712.0
2017-03-01,423450.0
2017-03-02,428950.0
2017-03-03,427972.0
2017-03-06,436230.0
2017-03-07,449214.0
2017-03-08,454534.0
2017-03-09,468712.0
2017-03-10,476048.0
2017-03-13,438394.0
2017-03-14,442832.0
2017-03-15,448742.0
2017-03-16,469932.0
2017-03-17,466704.0
2017-03-20,462572.0
2017-03-21,462880.0
2017-03-22,460176.0
2017-03-23,491382.0
2017-03-24,492274.0
2017-03-27,487642.0
2017-03-28,475180.0
2017-03-29,476342.0
2017-03-30,478868.0
2017-03-31,478946.0
2017-04-05,472296.0
2017-04-06,483002.0
2017-04-07,467880.0
2017-04-10,466126.0
2017-04-11,461550.0
2017-04-12,475836.0
2017-04-13,470566.0
2017-04-14,459438.0
2017-04-17,441098.0
2017-04-18,442052.0
2017-04-19,451596.0
2017-04-20,453610.0
2017-04-21,457678.0
2017-04-24,461478.0
2017-04-25,473000.0
2017-04-26,478774.0
2017-04-27,469286.0
2017-04-28,462230.0
2017-05-02,469182.0
2017-05-03,459852.0
2017-05-04,467182.0
2017-05-05,462464.0
2017-05-08,467666.0
2017-05-09,469300.0
2017-05-10,472446.0
2017-05-11,452274.0
2017-05-12,452488.0
2017-05-15,448604.0
2017-05-16,430482.0
2017-05-17,423242.0
2017-05-18,432516.0
2017-05-19,424528.0
2017-05-22,418274.0
2017-05-23,422048.0
2017-05-24,435644.0
2017-05-25,440042.0
