trading_date,TA_total_oi
2017-06-19,1924196.0
2017-06-20,1971318.0
2017-06-21,1962514.0
2017-06-22,1999084.0
2017-06-23,1966610.0
2017-06-26,1946618.0
2017-06-27,1974360.0
2017-06-28,1956610.0
2017-06-29,1970106.0
2017-06-30,1981282.0
2017-07-03,2015638.0
2017-07-04,1993954.0
2017-07-05,2180988.0
2017-07-06,2225084.0
2017-07-07,2234526.0
2017-07-10,2269092.0
2017-07-11,2476222.0
2017-07-12,2448684.0
2017-07-13,2451572.0
2017-07-14,2527656.0
2017-07-17,2543876.0
2017-07-18,2537840.0
2017-07-19,2529076.0
2017-07-20,2500208.0
2017-07-21,2403206.0
2017-07-24,2372476.0
2017-07-25,2445818.0
2017-07-26,2422656.0
2017-07-27,2490994.0
2017-07-28,2441128.0
2017-07-31,2510782.0
2017-08-01,2513364.0
2017-08-02,2432030.0
2017-08-03,2385106.0
2017-08-04,2392156.0
2017-08-07,2257338.0
2017-08-08,2219818.0
2017-08-09,2309452.0
2017-08-10,2353800.0
2017-08-11,2266640.0
2017-08-14,2221958.0
2017-08-15,2126446.0
2017-08-16,2077704.0
2017-08-17,2113856.0
2017-08-18,2104196.0
2017-08-21,2052544.0
2017-08-22,2137710.0
2017-08-23,2162390.0
2017-08-24,2317440.0
2017-08-25,2313802.0
2017-08-28,2238676.0
2017-08-29,2194312.0
2017-08-30,2308140.0
2017-08-31,2291280.0
2017-09-01,2424826.0
2017-09-04,2461222.0
2017-09-05,2423564.0
2017-09-06,2367378.0
2017-09-07,2280204.0
2017-09-08,2247980.0
2017-09-11,2195644.0
2017-09-12,2142934.0
2017-09-13,2103480.0
2017-09-14,2063726.0
2017-09-15,1976690.0
2017-09-18,1922544.0
2017-09-19,1953660.0
2017-09-20,2024132.0
2017-09-21,1928746.0
2017-09-22,1913344.0
2017-09-25,1995714.0
2017-09-26,1929464.0
2017-09-27,1853650.0
2017-09-28,1689274.0
2017-09-29,1586722.0
2017-10-09,1627718.0
2017-10-10,1658486.0
2017-10-11,1720624.0
2017-10-12,1691438.0
2017-10-13,1686680.0
2017-10-16,1621360.0
2017-10-17,1576838.0
2017-10-18,1537926.0
2017-10-19,1472422.0
2017-10-20,1470878.0
2017-10-23,1462880.0
2017-10-24,1438812.0
2017-10-25,1395842.0
2017-10-26,1394296.0
2017-10-27,1382142.0
2017-10-30,1366334.0
2017-10-31,1351706.0
2017-11-01,1355098.0
2017-11-02,1349136.0
2017-11-03,1333594.0
2017-11-06,1499824.0
2017-11-07,1527776.0
2017-11-08,1507336.0
2017-11-09,1511726.0
2017-11-10,1554000.0
2017-11-13,1704356.0
2017-11-14,1753714.0
2017-11-15,1554986.0
2017-11-16,1557058.0
2017-11-17,1540980.0
2017-11-20,1575024.0
2017-11-21,1583172.0
2017-11-22,1556460.0
2017-11-23,1505702.0
2017-11-24,1507210.0
2017-11-27,1454598.0
2017-11-28,1380342.0
2017-11-29,1364452.0
2017-11-30,1289490.0
2017-12-01,1503838.0
2017-12-04,1550326.0
2017-12-05,1486464.0
2017-12-06,1540232.0
2017-12-07,1441278.0
2017-12-08,1419216.0
2017-12-11,1404446.0
2017-12-12,1380322.0
2017-12-13,1371110.0
2017-12-14,1345686.0
2017-12-15,1285210.0
2017-12-18,1275978.0
2017-12-19,1208548.0
2017-12-20,1192530.0
2017-12-21,1158428.0
2017-12-22,1160798.0
2017-12-25,1155030.0
2017-12-26,1226590.0
2017-12-27,1296778.0
2017-12-28,1318888.0
2017-12-29,1326266.0
2018-01-02,1410878.0
2018-01-03,1421292.0
2018-01-04,1648344.0
2018-01-05,1618172.0
2018-01-08,1787926.0
2018-01-09,1835446.0
2018-01-10,1780036.0
2018-01-11,1807466.0
2018-01-12,1808084.0
2018-01-15,1862184.0
2018-01-16,1731840.0
2018-01-17,1682444.0
2018-01-18,1690822.0
2018-01-19,1689830.0
2018-01-22,1727584.0
2018-01-23,1762566.0
2018-01-24,1903188.0
2018-01-25,1903902.0
2018-01-26,1874458.0
2018-01-29,1875454.0
2018-01-30,1776982.0
2018-01-31,1805320.0
2018-02-01,1729500.0
2018-02-02,1696742.0
2018-02-05,1633186.0
2018-02-06,1579672.0
2018-02-07,1552504.0
2018-02-08,1500684.0
2018-02-09,1473728.0
2018-02-12,1481878.0
2018-02-13,1418996.0
2018-02-14,1392924.0
2018-02-22,1436124.0
2018-02-23,1465734.0
2018-02-26,1578622.0
2018-02-27,1655786.0
2018-02-28,1650984.0
2018-03-01,1669988.0
2018-03-02,1685716.0
2018-03-05,1709076.0
2018-03-06,1694864.0
2018-03-07,1739070.0
2018-03-08,1715288.0
2018-03-09,1729604.0
2018-03-12,1759308.0
2018-03-13,1791726.0
2018-03-14,1815748.0
2018-03-15,1749210.0
2018-03-16,1784194.0
2018-03-19,1734754.0
2018-03-20,1669904.0
2018-03-21,1648494.0
2018-03-22,1537298.0
