trading_date,FG_total_oi
2018-05-07,263978.0
2018-05-08,262926.0
2018-05-09,354592.0
2018-05-10,318388.0
2018-05-11,328942.0
2018-05-14,322228.0
2018-05-15,328318.0
2018-05-16,322298.0
2018-05-17,305628.0
2018-05-18,334956.0
2018-05-21,303582.0
2018-05-22,278594.0
2018-05-23,282470.0
2018-05-24,284658.0
2018-05-25,269278.0
2018-05-28,325846.0
2018-05-29,291644.0
2018-05-30,283946.0
2018-05-31,314958.0
2018-06-01,301366.0
2018-06-04,303942.0
2018-06-05,293070.0
2018-06-06,300008.0
2018-06-07,302228.0
2018-06-08,280638.0
2018-06-11,279658.0
2018-06-12,278728.0
2018-06-13,270894.0
2018-06-14,255132.0
2018-06-15,286098.0
2018-06-19,241340.0
2018-06-20,253122.0
2018-06-21,249328.0
2018-06-22,263118.0
2018-06-25,250014.0
2018-06-26,282658.0
2018-06-27,262874.0
2018-06-28,274978.0
2018-06-29,251802.0
2018-07-02,267586.0
2018-07-03,258528.0
2018-07-04,280336.0
2018-07-05,251082.0
2018-07-06,264512.0
2018-07-09,253980.0
2018-07-10,282682.0
2018-07-11,263900.0
2018-07-12,297892.0
2018-07-13,279756.0
2018-07-16,285220.0
2018-07-17,275512.0
2018-07-18,266992.0
2018-07-19,266156.0
2018-07-20,257394.0
2018-07-23,257298.0
2018-07-24,252186.0
2018-07-25,228360.0
2018-07-26,219438.0
2018-07-27,225200.0
2018-07-30,223832.0
2018-07-31,220604.0
2018-08-01,225820.0
2018-08-02,220920.0
