trading_date,B_total_oi
2021-04-23,65715.0
2021-04-26,67654.0
2021-04-27,67557.0
2021-04-28,65724.0
2021-04-29,65958.0
2021-04-30,60990.0
2021-05-06,55922.0
2021-05-07,62026.0
2021-05-10,65467.0
2021-05-11,64537.0
2021-05-12,69100.0
2021-05-13,63598.0
2021-05-14,60365.0
2021-05-17,60968.0
2021-05-18,61470.0
2021-05-19,61200.0
2021-05-20,59140.0
2021-05-21,59338.0
2021-05-24,58268.0
2021-05-25,56828.0
2021-05-26,58779.0
2021-05-27,56086.0
2021-05-28,57285.0
2021-05-31,53346.0
2021-06-01,50985.0
