trading_date,B_total_oi
2020-08-07,43286.0
2020-08-10,43096.0
2020-08-11,43022.0
2020-08-12,44177.0
2020-08-13,40902.0
2020-08-14,42460.0
2020-08-17,42562.0
2020-08-18,44441.0
2020-08-19,45358.0
2020-08-20,45039.0
2020-08-21,44665.0
2020-08-24,43382.0
2020-08-25,45130.0
2020-08-26,48215.0
2020-08-27,48786.0
2020-08-28,50738.0
2020-08-31,52082.0
2020-09-01,48772.0
2020-09-02,45358.0
2020-09-03,45898.0
2020-09-04,46638.0
2020-09-07,50581.0
2020-09-08,53739.0
2020-09-09,50344.0
2020-09-10,50141.0
2020-09-11,56382.0
2020-09-14,63536.0
2020-09-15,59380.0
2020-09-16,57529.0
2020-09-17,60376.0
2020-09-18,61648.0
2020-09-21,65326.0
2020-09-22,59675.0
2020-09-23,54157.0
2020-09-24,53808.0
2020-09-25,49712.0
2020-09-28,48793.0
2020-09-29,46756.0
2020-09-30,42099.0
2020-10-09,47332.0
2020-10-12,51124.0
2020-10-13,44604.0
2020-10-14,44445.0
2020-10-15,47675.0
2020-10-16,44095.0
2020-10-19,45461.0
2020-10-20,53146.0
2020-10-21,57917.0
2020-10-22,54690.0
2020-10-23,50933.0
2020-10-26,49778.0
2020-10-27,50165.0
2020-10-28,50200.0
2020-10-29,52355.0
2020-10-30,49785.0
2020-11-02,48656.0
2020-11-03,46820.0
2020-11-04,48318.0
2020-11-05,55056.0
2020-11-06,55890.0
2020-11-09,48789.0
2020-11-10,45003.0
2020-11-11,48668.0
2020-11-12,47548.0
2020-11-13,46322.0
2020-11-16,44378.0
2020-11-17,47256.0
2020-11-18,48638.0
2020-11-19,61681.0
2020-11-20,60226.0
2020-11-23,58926.0
2020-11-24,49253.0
2020-11-25,50349.0
2020-11-26,50255.0
2020-11-27,52481.0
2020-11-30,53141.0
2020-12-01,52492.0
2020-12-02,53164.0
2020-12-03,47843.0
2020-12-04,46616.0
2020-12-07,45473.0
2020-12-08,46187.0
2020-12-09,45810.0
2020-12-10,44479.0
2020-12-11,40904.0
2020-12-14,43139.0
2020-12-15,40478.0
2020-12-16,42843.0
2020-12-17,40231.0
2020-12-18,38668.0
2020-12-21,39427.0
2020-12-22,37859.0
2020-12-23,39706.0
2020-12-24,46572.0
2020-12-25,44985.0
2020-12-28,43071.0
2020-12-29,42208.0
2020-12-30,46286.0
2020-12-31,50875.0
2021-01-04,50479.0
2021-01-05,47598.0
2021-01-06,46324.0
2021-01-07,42430.0
2021-01-08,45965.0
2021-01-11,54090.0
2021-01-12,49135.0
2021-01-13,48531.0
2021-01-14,46401.0
2021-01-15,44932.0
2021-01-18,43444.0
2021-01-19,42355.0
2021-01-20,41988.0
2021-01-21,39818.0
2021-01-22,38651.0
2021-01-25,35541.0
2021-01-26,37229.0
2021-01-27,40782.0
2021-01-28,41796.0
2021-01-29,41679.0
2021-02-01,41655.0
2021-02-02,38881.0
2021-02-03,38572.0
2021-02-04,38163.0
2021-02-05,37079.0
2021-02-08,34481.0
2021-02-09,33430.0
2021-02-10,31116.0
2021-02-18,33797.0
2021-02-19,35027.0
2021-02-22,36177.0
2021-02-23,36181.0
2021-02-24,36691.0
2021-02-25,37729.0
2021-02-26,34964.0
2021-03-01,38377.0
2021-03-02,37440.0
2021-03-03,44762.0
2021-03-04,47850.0
2021-03-05,47693.0
2021-03-08,51407.0
2021-03-09,50027.0
2021-03-10,46604.0
2021-03-11,44969.0
2021-03-12,43781.0
2021-03-15,42157.0
2021-03-16,43666.0
2021-03-17,45548.0
2021-03-18,41809.0
2021-03-19,46281.0
2021-03-22,51938.0
2021-03-23,52438.0
2021-03-24,51671.0
2021-03-25,52913.0
2021-03-26,49900.0
2021-03-29,52789.0
2021-03-30,54491.0
2021-03-31,51160.0
2021-04-01,47102.0
2021-04-02,47070.0
2021-04-06,50107.0
2021-04-07,52315.0
2021-04-08,52013.0
2021-04-09,54008.0
2021-04-12,53072.0
2021-04-13,51292.0
2021-04-14,51606.0
2021-04-15,50919.0
2021-04-16,54328.0
2021-04-19,57021.0
2021-04-20,57094.0
2021-04-21,60931.0
2021-04-22,63110.0
