trading_date,MA_total_oi
2016-11-25,479216.0
2016-11-28,498370.0
2016-11-29,484004.0
2016-11-30,474824.0
2016-12-01,463270.0
2016-12-02,460224.0
2016-12-05,541722.0
2016-12-06,596152.0
2016-12-07,621456.0
2016-12-08,567040.0
2016-12-09,578284.0
2016-12-12,546006.0
2016-12-13,516936.0
2016-12-14,648184.0
2016-12-15,657700.0
2016-12-16,624976.0
2016-12-19,551700.0
2016-12-20,521122.0
2016-12-21,534300.0
2016-12-22,581192.0
2016-12-23,556238.0
2016-12-26,514760.0
2016-12-27,520520.0
2016-12-28,490334.0
2016-12-29,469578.0
2016-12-30,444246.0
2017-01-03,473068.0
2017-01-04,496888.0
2017-01-05,487542.0
2017-01-06,501106.0
2017-01-09,480020.0
2017-01-10,491902.0
2017-01-11,505892.0
2017-01-12,528586.0
2017-01-13,497466.0
2017-01-16,548018.0
2017-01-17,513710.0
2017-01-18,513426.0
2017-01-19,485564.0
2017-01-20,492586.0
2017-01-23,507186.0
2017-01-24,504636.0
2017-01-25,504510.0
2017-01-26,463170.0
2017-02-03,493748.0
2017-02-06,564330.0
2017-02-07,618338.0
2017-02-08,641456.0
2017-02-09,728240.0
2017-02-10,687966.0
2017-02-13,756344.0
2017-02-14,807142.0
2017-02-15,843440.0
2017-02-16,761020.0
2017-02-17,769602.0
2017-02-20,786552.0
2017-02-21,784682.0
2017-02-22,741884.0
2017-02-23,748028.0
2017-02-24,706288.0
2017-02-27,704442.0
2017-02-28,718886.0
2017-03-01,731490.0
2017-03-02,706286.0
2017-03-03,700490.0
2017-03-06,696764.0
2017-03-07,707242.0
2017-03-08,747808.0
2017-03-09,724650.0
2017-03-10,708026.0
2017-03-13,762488.0
2017-03-14,731158.0
2017-03-15,704968.0
2017-03-16,722838.0
2017-03-17,690848.0
2017-03-20,742176.0
2017-03-21,790822.0
2017-03-22,782570.0
2017-03-23,789400.0
2017-03-24,804814.0
2017-03-27,778814.0
2017-03-28,730166.0
2017-03-29,686926.0
2017-03-30,664730.0
2017-03-31,622082.0
2017-04-05,585776.0
2017-04-06,575256.0
2017-04-07,587308.0
2017-04-10,618374.0
2017-04-11,625378.0
2017-04-12,594570.0
2017-04-13,631124.0
2017-04-14,692650.0
2017-04-17,675022.0
2017-04-18,665482.0
2017-04-19,651692.0
2017-04-20,687912.0
2017-04-21,678766.0
2017-04-24,708918.0
2017-04-25,693584.0
2017-04-26,664318.0
2017-04-27,642894.0
2017-04-28,633362.0
2017-05-02,653740.0
2017-05-03,696220.0
2017-05-04,770354.0
2017-05-05,787616.0
2017-05-08,762840.0
2017-05-09,758234.0
2017-05-10,789156.0
2017-05-11,808688.0
2017-05-12,808308.0
2017-05-15,834578.0
2017-05-16,773078.0
