trading_date,ZC_total_oi
2017-07-06,530944.0
2017-07-07,525552.0
2017-07-10,505012.0
2017-07-11,503068.0
2017-07-12,469402.0
2017-07-13,484804.0
2017-07-14,479340.0
2017-07-17,510838.0
2017-07-18,477762.0
2017-07-19,479486.0
2017-07-20,480086.0
2017-07-21,485112.0
2017-07-24,477304.0
2017-07-25,472722.0
2017-07-26,463058.0
2017-07-27,455312.0
2017-07-28,432186.0
2017-07-31,429394.0
2017-08-01,401584.0
2017-08-02,386830.0
2017-08-03,376848.0
2017-08-04,363712.0
2017-08-07,357686.0
2017-08-08,353638.0
2017-08-09,394652.0
2017-08-10,406928.0
2017-08-11,396112.0
2017-08-14,371024.0
2017-08-15,348946.0
2017-08-16,340828.0
2017-08-17,367452.0
2017-08-18,367704.0
2017-08-21,380280.0
2017-08-22,344654.0
2017-08-23,334106.0
2017-08-24,319786.0
2017-08-25,371164.0
2017-08-28,342238.0
2017-08-29,312826.0
2017-08-30,326470.0
2017-08-31,306446.0
2017-09-01,319776.0
2017-09-04,329676.0
2017-09-05,324388.0
2017-09-06,310864.0
2017-09-07,314958.0
2017-09-08,312248.0
2017-09-11,356442.0
2017-09-12,369774.0
2017-09-13,371242.0
2017-09-14,378932.0
2017-09-15,390410.0
2017-09-18,391246.0
2017-09-19,417150.0
2017-09-20,417994.0
2017-09-21,454646.0
2017-09-22,440156.0
2017-09-25,462246.0
2017-09-26,448830.0
2017-09-27,439418.0
2017-09-28,435958.0
2017-09-29,397840.0
2017-10-09,411606.0
2017-10-10,434866.0
2017-10-11,437202.0
2017-10-12,434764.0
2017-10-13,424076.0
2017-10-16,415484.0
2017-10-17,404052.0
2017-10-18,400612.0
2017-10-19,421856.0
2017-10-20,409228.0
2017-10-23,411270.0
2017-10-24,409104.0
2017-10-25,412052.0
2017-10-26,407656.0
2017-10-27,437044.0
2017-10-30,418792.0
2017-10-31,482624.0
2017-11-01,462242.0
2017-11-02,448054.0
2017-11-03,442454.0
2017-11-06,450650.0
2017-11-07,437124.0
2017-11-08,451504.0
2017-11-09,464902.0
2017-11-10,465196.0
2017-11-13,470976.0
2017-11-14,499436.0
2017-11-15,478588.0
2017-11-16,432660.0
2017-11-17,420532.0
2017-11-20,451524.0
2017-11-21,440708.0
2017-11-22,440246.0
2017-11-23,458358.0
2017-11-24,456468.0
2017-11-27,486248.0
2017-11-28,477442.0
2017-11-29,470046.0
2017-11-30,488200.0
2017-12-01,489086.0
2017-12-04,494978.0
