trading_date,L_total_oi
2016-04-13,806824.0
2016-04-14,806138.0
2016-04-15,794532.0
2016-04-18,771970.0
2016-04-19,779012.0
2016-04-20,740436.0
2016-04-21,669800.0
2016-04-22,631684.0
2016-04-25,667090.0
2016-04-26,632812.0
2016-04-27,622572.0
2016-04-28,611400.0
2016-04-29,589542.0
2016-05-03,600206.0
2016-05-04,625620.0
2016-05-05,661734.0
2016-05-06,651958.0
2016-05-09,671982.0
2016-05-10,630892.0
2016-05-11,597700.0
2016-05-12,585558.0
2016-05-13,564662.0
2016-05-16,674958.0
2016-05-17,718848.0
2016-05-18,719856.0
2016-05-19,749952.0
2016-05-20,736754.0
2016-05-23,739178.0
2016-05-24,743092.0
2016-05-25,725618.0
2016-05-26,720422.0
2016-05-27,767122.0
2016-05-30,724874.0
2016-05-31,697926.0
2016-06-01,696388.0
2016-06-02,749286.0
2016-06-03,737874.0
2016-06-06,741730.0
2016-06-07,742016.0
2016-06-08,737348.0
2016-06-13,773162.0
2016-06-14,796398.0
2016-06-15,831158.0
2016-06-16,805434.0
2016-06-17,836478.0
2016-06-20,814236.0
2016-06-21,765642.0
2016-06-22,754520.0
2016-06-23,754060.0
2016-06-24,771658.0
2016-06-27,736988.0
2016-06-28,710988.0
2016-06-29,696946.0
2016-06-30,696262.0
2016-07-01,695412.0
2016-07-04,662048.0
2016-07-05,689166.0
2016-07-06,636880.0
2016-07-07,617598.0
2016-07-08,602168.0
2016-07-11,629116.0
2016-07-12,633124.0
2016-07-13,650224.0
2016-07-14,651004.0
2016-07-15,637300.0
2016-07-18,657386.0
2016-07-19,650450.0
2016-07-20,630454.0
2016-07-21,634456.0
2016-07-22,612224.0
2016-07-25,622756.0
2016-07-26,651350.0
2016-07-27,633348.0
2016-07-28,605236.0
2016-07-29,619126.0
2016-08-01,677112.0
2016-08-02,640448.0
2016-08-03,639490.0
2016-08-04,624786.0
2016-08-05,646128.0
2016-08-08,628824.0
2016-08-09,629906.0
2016-08-10,605888.0
2016-08-11,596344.0
2016-08-12,595390.0
2016-08-15,595556.0
2016-08-16,572620.0
2016-08-17,563116.0
2016-08-18,534472.0
2016-08-19,544452.0
2016-08-22,523872.0
2016-08-23,553722.0
2016-08-24,534178.0
2016-08-25,543294.0
2016-08-26,567682.0
2016-08-29,578818.0
2016-08-30,584232.0
2016-08-31,570386.0
2016-09-01,591780.0
2016-09-02,567700.0
2016-09-05,614124.0
2016-09-06,608608.0
2016-09-07,603098.0
2016-09-08,602272.0
2016-09-09,588810.0
2016-09-12,553814.0
2016-09-13,544506.0
2016-09-14,524962.0
2016-09-19,559336.0
2016-09-20,587598.0
2016-09-21,609990.0
2016-09-22,694050.0
2016-09-23,714286.0
2016-09-26,699576.0
2016-09-27,693392.0
2016-09-28,671236.0
2016-09-29,607928.0
2016-09-30,582628.0
2016-10-10,572072.0
2016-10-11,591464.0
2016-10-12,604736.0
2016-10-13,609126.0
2016-10-14,627308.0
2016-10-17,619652.0
2016-10-18,682544.0
2016-10-19,651044.0
2016-10-20,653954.0
2016-10-21,653014.0
2016-10-24,666030.0
2016-10-25,616070.0
2016-10-26,598700.0
2016-10-27,599788.0
2016-10-28,627404.0
2016-10-31,596580.0
2016-11-01,582292.0
2016-11-02,571506.0
2016-11-03,576518.0
2016-11-04,568330.0
2016-11-07,572314.0
2016-11-08,570186.0
2016-11-09,553884.0
2016-11-10,546092.0
2016-11-11,558344.0
2016-11-14,538616.0
2016-11-15,497872.0
2016-11-16,502124.0
2016-11-17,488972.0
2016-11-18,485280.0
2016-11-21,491978.0
2016-11-22,464158.0
2016-11-23,479402.0
2016-11-24,481626.0
2016-11-25,453384.0
2016-11-28,423758.0
2016-11-29,408734.0
2016-11-30,416320.0
2016-12-01,390124.0
2016-12-02,393928.0
2016-12-05,408950.0
2016-12-06,395032.0
2016-12-07,393822.0
2016-12-08,405880.0
