trading_date,V_total_oi
2016-05-31,70890.0
2016-06-01,77270.0
2016-06-02,77926.0
2016-06-03,79122.0
2016-06-06,79614.0
2016-06-07,80964.0
2016-06-08,79960.0
2016-06-13,83600.0
2016-06-14,87000.0
2016-06-15,88940.0
2016-06-16,91280.0
2016-06-17,86164.0
2016-06-20,85112.0
2016-06-21,85644.0
2016-06-22,93704.0
2016-06-23,140358.0
2016-06-24,152782.0
2016-06-27,182024.0
2016-06-28,189986.0
2016-06-29,195260.0
2016-06-30,194910.0
2016-07-01,201614.0
2016-07-04,200592.0
2016-07-05,192514.0
2016-07-06,190486.0
2016-07-07,190592.0
2016-07-08,190174.0
2016-07-11,191908.0
2016-07-12,196500.0
2016-07-13,191370.0
2016-07-14,192896.0
2016-07-15,192734.0
2016-07-18,192726.0
2016-07-19,193550.0
2016-07-20,191570.0
2016-07-21,194454.0
2016-07-22,189370.0
2016-07-25,186722.0
2016-07-26,187326.0
2016-07-27,186428.0
2016-07-28,185770.0
2016-07-29,181874.0
2016-08-01,177846.0
2016-08-02,164258.0
2016-08-03,171092.0
2016-08-04,180398.0
2016-08-05,180802.0
2016-08-08,192312.0
2016-08-09,203602.0
2016-08-10,198020.0
2016-08-11,194136.0
2016-08-12,186750.0
2016-08-15,184924.0
2016-08-16,179276.0
2016-08-17,172516.0
2016-08-18,167492.0
2016-08-19,160820.0
2016-08-22,154722.0
2016-08-23,143500.0
2016-08-24,134854.0
2016-08-25,129390.0
2016-08-26,124386.0
2016-08-29,121546.0
2016-08-30,120580.0
2016-08-31,119864.0
2016-09-01,119328.0
2016-09-02,119958.0
2016-09-05,121038.0
2016-09-06,116106.0
2016-09-07,115974.0
2016-09-08,122384.0
2016-09-09,122328.0
2016-09-12,132974.0
2016-09-13,146762.0
2016-09-14,141276.0
2016-09-19,176244.0
2016-09-20,207570.0
2016-09-21,224772.0
2016-09-22,249268.0
2016-09-23,245268.0
2016-09-26,243990.0
2016-09-27,256886.0
2016-09-28,249446.0
2016-09-29,234312.0
2016-09-30,235620.0
2016-10-10,247678.0
2016-10-11,260654.0
2016-10-12,273490.0
2016-10-13,294422.0
2016-10-14,294986.0
2016-10-17,292332.0
2016-10-18,293608.0
2016-10-19,283106.0
2016-10-20,288746.0
2016-10-21,278220.0
2016-10-24,273280.0
2016-10-25,249252.0
2016-10-26,256410.0
2016-10-27,268788.0
2016-10-28,281614.0
2016-10-31,300568.0
2016-11-01,281040.0
2016-11-02,289426.0
2016-11-03,291126.0
2016-11-04,284848.0
2016-11-07,280604.0
2016-11-08,277058.0
2016-11-09,260194.0
2016-11-10,254034.0
2016-11-11,251610.0
2016-11-14,265644.0
2016-11-15,254538.0
2016-11-16,253604.0
2016-11-17,253260.0
2016-11-18,253768.0
2016-11-21,246040.0
2016-11-22,238790.0
2016-11-23,257624.0
2016-11-24,245160.0
2016-11-25,244798.0
2016-11-28,236268.0
2016-11-29,234388.0
2016-11-30,238362.0
2016-12-01,240076.0
2016-12-02,228798.0
2016-12-05,224170.0
2016-12-06,220614.0
2016-12-07,236682.0
2016-12-08,245644.0
2016-12-09,218452.0
2016-12-12,210364.0
2016-12-13,199800.0
2016-12-14,188060.0
2016-12-15,189760.0
2016-12-16,202036.0
2016-12-19,197168.0
2016-12-20,192778.0
2016-12-21,193380.0
2016-12-22,173346.0
2016-12-23,170884.0
2016-12-26,164306.0
2016-12-27,177246.0
2016-12-28,205650.0
2016-12-29,192608.0
2016-12-30,183760.0
2017-01-03,202584.0
2017-01-04,180926.0
2017-01-05,185882.0
2017-01-06,190926.0
2017-01-09,177484.0
2017-01-10,176404.0
2017-01-11,168312.0
2017-01-12,168914.0
2017-01-13,169878.0
2017-01-16,163624.0
2017-01-17,152872.0
2017-01-18,151860.0
2017-01-19,159494.0
2017-01-20,146674.0
2017-01-23,144236.0
2017-01-24,148616.0
2017-01-25,135126.0
2017-01-26,130720.0
2017-02-03,161496.0
2017-02-06,166638.0
2017-02-07,169636.0
2017-02-08,163916.0
2017-02-09,167586.0
2017-02-10,182718.0
2017-02-13,183700.0
2017-02-14,181744.0
2017-02-15,163610.0
2017-02-16,152010.0
2017-02-17,147532.0
2017-02-20,150472.0
2017-02-21,148880.0
