trading_date,HC_total_oi
2017-12-11,781356.0
2017-12-12,785602.0
2017-12-13,762270.0
2017-12-14,770908.0
2017-12-15,768148.0
2017-12-18,744142.0
2017-12-19,789768.0
2017-12-20,766276.0
2017-12-21,742640.0
2017-12-22,756732.0
2017-12-25,702794.0
2017-12-26,714516.0
2017-12-27,714010.0
2017-12-28,724054.0
2017-12-29,721916.0
2018-01-02,719836.0
2018-01-03,713984.0
2018-01-04,725928.0
2018-01-05,787778.0
2018-01-08,789606.0
2018-01-09,754176.0
2018-01-10,748144.0
2018-01-11,722912.0
2018-01-12,736458.0
2018-01-15,730308.0
2018-01-16,714338.0
2018-01-17,716056.0
2018-01-18,734546.0
2018-01-19,747130.0
2018-01-22,766418.0
2018-01-23,741272.0
2018-01-24,770048.0
2018-01-25,758112.0
2018-01-26,736230.0
2018-01-29,735974.0
2018-01-30,706326.0
2018-01-31,684064.0
2018-02-01,720824.0
2018-02-02,819944.0
2018-02-05,786964.0
2018-02-06,735928.0
2018-02-07,705680.0
2018-02-08,719412.0
2018-02-09,687066.0
2018-02-12,660270.0
2018-02-13,630206.0
2018-02-14,609398.0
2018-02-22,629156.0
2018-02-23,656914.0
2018-02-26,675972.0
2018-02-27,702300.0
2018-02-28,706852.0
2018-03-01,719496.0
2018-03-02,748508.0
2018-03-05,669596.0
2018-03-06,642120.0
2018-03-07,651256.0
2018-03-08,643420.0
2018-03-09,625726.0
2018-03-12,592298.0
2018-03-13,602960.0
2018-03-14,591440.0
2018-03-15,580522.0
2018-03-16,610506.0
2018-03-19,604084.0
2018-03-20,617458.0
2018-03-21,683442.0
2018-03-22,667396.0
2018-03-23,653778.0
2018-03-26,630634.0
2018-03-27,635772.0
2018-03-28,625314.0
2018-03-29,626468.0
2018-03-30,600880.0
2018-04-02,572274.0
2018-04-03,563806.0
2018-04-04,550300.0
2018-04-09,566050.0
2018-04-10,567136.0
2018-04-11,579532.0
2018-04-12,571324.0
2018-04-13,551734.0
2018-04-16,567598.0
2018-04-17,517372.0
2018-04-18,517734.0
2018-04-19,528830.0
2018-04-20,550924.0
2018-04-23,573930.0
2018-04-24,589230.0
2018-04-25,578292.0
2018-04-26,577466.0
2018-04-27,544688.0
2018-05-02,590472.0
2018-05-03,634768.0
2018-05-04,633154.0
2018-05-07,630924.0
2018-05-08,623356.0
2018-05-09,641558.0
2018-05-10,624478.0
2018-05-11,633816.0
2018-05-14,601498.0
2018-05-15,600316.0
2018-05-16,617872.0
