trading_date,NI_total_oi
2017-05-05,683884.0
2017-05-08,663636.0
2017-05-09,655182.0
2017-05-10,645152.0
2017-05-11,635948.0
2017-05-12,625576.0
2017-05-15,626788.0
2017-05-16,584784.0
2017-05-17,585482.0
2017-05-18,593286.0
2017-05-19,586156.0
2017-05-22,578782.0
2017-05-23,577664.0
2017-05-24,589346.0
2017-05-25,587918.0
2017-05-26,588998.0
2017-05-31,595068.0
2017-06-01,583856.0
2017-06-02,600376.0
2017-06-05,580232.0
2017-06-06,580112.0
2017-06-07,574414.0
2017-06-08,582332.0
2017-06-09,596388.0
2017-06-12,584554.0
2017-06-13,614508.0
2017-06-14,605190.0
2017-06-15,592882.0
2017-06-16,584662.0
2017-06-19,579892.0
2017-06-20,578400.0
2017-06-21,587796.0
2017-06-22,585084.0
2017-06-23,609622.0
2017-06-26,592132.0
2017-06-27,587254.0
2017-06-28,576816.0
2017-06-29,594040.0
2017-06-30,590696.0
2017-07-03,590066.0
2017-07-04,574174.0
2017-07-05,568576.0
2017-07-06,572852.0
2017-07-07,586792.0
2017-07-10,606050.0
2017-07-11,600512.0
2017-07-12,592536.0
2017-07-13,606902.0
2017-07-14,639228.0
2017-07-17,656364.0
2017-07-18,644146.0
2017-07-19,641678.0
2017-07-20,629084.0
2017-07-21,624774.0
2017-07-24,628218.0
2017-07-25,666386.0
2017-07-26,633470.0
2017-07-27,650528.0
2017-07-28,640572.0
2017-07-31,622532.0
2017-08-01,612998.0
2017-08-02,608180.0
2017-08-03,609032.0
2017-08-04,613182.0
2017-08-07,608252.0
2017-08-08,603446.0
2017-08-09,627396.0
2017-08-10,620678.0
2017-08-11,598338.0
2017-08-14,593584.0
2017-08-15,587986.0
2017-08-16,596386.0
2017-08-17,611202.0
2017-08-18,615998.0
2017-08-21,627084.0
2017-08-22,633398.0
2017-08-23,624102.0
2017-08-24,628396.0
2017-08-25,619436.0
2017-08-28,613834.0
2017-08-29,621876.0
2017-08-30,610468.0
2017-08-31,613704.0
2017-09-01,632342.0
2017-09-04,631968.0
2017-09-05,633372.0
2017-09-06,608692.0
2017-09-07,619182.0
2017-09-08,613150.0
2017-09-11,585580.0
2017-09-12,589926.0
2017-09-13,590224.0
2017-09-14,591238.0
2017-09-15,577736.0
2017-09-18,520094.0
2017-09-19,530006.0
2017-09-20,536926.0
2017-09-21,531950.0
2017-09-22,582132.0
2017-09-25,551452.0
2017-09-26,536736.0
2017-09-27,547144.0
2017-09-28,555200.0
2017-09-29,517524.0
2017-10-09,534444.0
2017-10-10,566572.0
2017-10-11,568378.0
2017-10-12,589230.0
2017-10-13,582210.0
2017-10-16,594674.0
2017-10-17,629340.0
2017-10-18,640488.0
2017-10-19,684532.0
2017-10-20,716282.0
2017-10-23,692136.0
2017-10-24,715502.0
2017-10-25,716194.0
2017-10-26,700476.0
2017-10-27,724266.0
2017-10-30,687854.0
2017-10-31,748614.0
2017-11-01,744274.0
2017-11-02,825002.0
2017-11-03,803972.0
2017-11-06,861640.0
2017-11-07,834408.0
2017-11-08,833954.0
2017-11-09,793384.0
2017-11-10,776772.0
2017-11-13,799838.0
2017-11-14,797100.0
2017-11-15,724428.0
2017-11-16,721780.0
2017-11-17,727304.0
2017-11-20,707382.0
2017-11-21,699060.0
2017-11-22,679578.0
2017-11-23,684400.0
2017-11-24,689132.0
2017-11-27,675846.0
2017-11-28,704738.0
2017-11-29,708822.0
2017-11-30,695852.0
2017-12-01,703440.0
2017-12-04,705516.0
2017-12-05,698534.0
2017-12-06,696054.0
2017-12-07,693880.0
2017-12-08,691374.0
2017-12-11,695726.0
2017-12-12,678248.0
2017-12-13,673200.0
2017-12-14,667876.0
2017-12-15,657704.0
2017-12-18,646410.0
2017-12-19,632774.0
2017-12-20,639154.0
2017-12-21,641646.0
2017-12-22,632730.0
2017-12-25,630952.0
2017-12-26,627070.0
2017-12-27,618244.0
2017-12-28,636744.0
2017-12-29,603316.0
2018-01-02,618432.0
2018-01-03,609174.0
2018-01-04,611968.0
2018-01-05,598320.0
2018-01-08,576570.0
2018-01-09,605466.0
2018-01-10,636600.0
2018-01-11,643962.0
2018-01-12,589958.0
2018-01-15,610306.0
2018-01-16,569340.0
2018-01-17,560134.0
2018-01-18,562400.0
2018-01-19,542168.0
2018-01-22,553490.0
2018-01-23,570578.0
2018-01-24,572012.0
2018-01-25,692318.0
2018-01-26,711004.0
2018-01-29,736296.0
2018-01-30,689226.0
2018-01-31,641600.0
2018-02-01,625898.0
2018-02-02,647638.0
2018-02-05,623046.0
2018-02-06,622814.0
2018-02-07,617254.0
2018-02-08,593268.0
2018-02-09,591674.0
2018-02-12,605512.0
2018-02-13,590952.0
2018-02-14,573478.0
2018-02-22,572500.0
2018-02-23,653496.0
2018-02-26,672806.0
2018-02-27,700820.0
2018-02-28,678252.0
2018-03-01,677162.0
2018-03-02,700012.0
2018-03-05,692510.0
2018-03-06,724474.0
2018-03-07,705182.0
2018-03-08,732060.0
2018-03-09,713618.0
2018-03-12,741900.0
2018-03-13,725994.0
2018-03-14,757056.0
2018-03-15,750564.0
2018-03-16,747756.0
2018-03-19,756120.0
2018-03-20,756470.0
2018-03-21,763518.0
2018-03-22,773900.0
2018-03-23,796222.0
2018-03-26,762758.0
2018-03-27,740262.0
2018-03-28,745328.0
2018-03-29,736230.0
2018-03-30,704524.0
2018-04-02,679490.0
2018-04-03,672244.0
2018-04-04,650616.0
2018-04-09,642250.0
2018-04-10,639684.0
2018-04-11,635170.0
2018-04-12,653854.0
2018-04-13,670066.0
2018-04-16,686630.0
2018-04-17,653218.0
2018-04-18,707552.0
2018-04-19,726950.0
2018-04-20,671572.0
2018-04-23,654672.0
2018-04-24,616996.0
2018-04-25,614364.0
2018-04-26,613706.0
2018-04-27,601594.0
2018-05-02,627692.0
2018-05-03,628400.0
2018-05-04,619658.0
2018-05-07,643096.0
2018-05-08,671662.0
2018-05-09,650362.0
2018-05-10,644504.0
2018-05-11,646498.0
2018-05-14,697472.0
2018-05-15,695126.0
2018-05-16,678624.0
2018-05-17,681554.0
2018-05-18,753916.0
2018-05-21,701706.0
2018-05-22,701880.0
2018-05-23,704686.0
2018-05-24,695766.0
2018-05-25,745526.0
2018-05-28,763362.0
2018-05-29,839822.0
2018-05-30,788156.0
2018-05-31,841480.0
2018-06-01,790264.0
2018-06-04,800844.0
2018-06-05,806278.0
2018-06-06,865824.0
2018-06-07,832028.0
2018-06-08,779982.0
2018-06-11,764164.0
2018-06-12,756146.0
2018-06-13,726622.0
2018-06-14,725456.0
2018-06-15,696416.0
2018-06-19,635670.0
2018-06-20,639722.0
2018-06-21,654098.0
2018-06-22,688160.0
2018-06-25,677884.0
2018-06-26,649202.0
2018-06-27,644432.0
2018-06-28,668594.0
2018-06-29,679808.0
2018-07-02,653396.0
2018-07-03,652644.0
2018-07-04,623628.0
2018-07-05,601796.0
2018-07-06,588512.0
2018-07-09,585528.0
2018-07-10,579268.0
2018-07-11,574564.0
2018-07-12,612600.0
2018-07-13,593002.0
2018-07-16,603610.0
2018-07-17,585048.0
2018-07-18,584440.0
2018-07-19,578826.0
2018-07-20,564892.0
2018-07-23,546712.0
2018-07-24,552086.0
2018-07-25,541898.0
2018-07-26,535642.0
2018-07-27,533744.0
2018-07-30,531458.0
2018-07-31,520050.0
2018-08-01,523986.0
2018-08-02,490174.0
2018-08-03,500822.0
2018-08-06,474092.0
2018-08-07,466824.0
2018-08-08,499042.0
2018-08-09,493112.0
2018-08-10,474890.0
2018-08-13,481766.0
2018-08-14,470120.0
2018-08-15,475804.0
2018-08-16,467542.0
2018-08-17,449458.0
2018-08-20,437664.0
2018-08-21,430212.0
2018-08-22,433744.0
2018-08-23,441114.0
2018-08-24,452176.0
2018-08-27,463624.0
2018-08-28,449046.0
2018-08-29,421906.0
2018-08-30,421642.0
2018-08-31,460932.0
2018-09-03,497422.0
2018-09-04,505454.0
2018-09-05,503296.0
2018-09-06,503742.0
2018-09-07,524260.0
2018-09-10,496182.0
2018-09-11,475256.0
2018-09-12,458572.0
2018-09-13,419154.0
2018-09-14,418124.0
2018-09-17,418722.0
2018-09-18,428522.0
2018-09-19,424398.0
2018-09-20,430940.0
2018-09-21,427264.0
2018-09-25,423850.0
2018-09-26,404752.0
2018-09-27,379172.0
2018-09-28,352408.0
2018-10-08,357244.0
2018-10-09,363598.0
2018-10-10,356124.0
2018-10-11,355060.0
2018-10-12,363572.0
2018-10-15,362478.0
2018-10-16,416742.0
2018-10-17,416986.0
