trading_date,BU_total_oi
2018-01-24,589084.0
2018-01-25,623976.0
2018-01-26,641782.0
2018-01-29,659264.0
2018-01-30,616576.0
2018-01-31,617618.0
2018-02-01,617032.0
2018-02-02,615584.0
2018-02-05,561972.0
2018-02-06,538926.0
2018-02-07,529950.0
2018-02-08,512026.0
2018-02-09,490808.0
2018-02-12,489242.0
2018-02-13,477644.0
2018-02-14,459990.0
2018-02-22,468044.0
2018-02-23,485728.0
2018-02-26,476110.0
2018-02-27,477358.0
2018-02-28,488060.0
2018-03-01,489344.0
2018-03-02,491498.0
2018-03-05,519290.0
2018-03-06,501680.0
2018-03-07,516452.0
2018-03-08,509678.0
2018-03-09,494594.0
2018-03-12,474066.0
2018-03-13,509774.0
2018-03-14,497552.0
2018-03-15,487514.0
2018-03-16,470624.0
2018-03-19,471182.0
2018-03-20,479028.0
2018-03-21,469134.0
2018-03-22,485508.0
2018-03-23,457850.0
2018-03-26,464700.0
2018-03-27,470772.0
2018-03-28,476174.0
2018-03-29,489444.0
2018-03-30,519248.0
2018-04-02,493138.0
2018-04-03,479634.0
2018-04-04,460814.0
2018-04-09,449988.0
2018-04-10,445848.0
2018-04-11,469548.0
2018-04-12,481018.0
2018-04-13,489106.0
2018-04-16,482216.0
2018-04-17,475846.0
2018-04-18,506370.0
2018-04-19,523508.0
2018-04-20,509156.0
2018-04-23,494764.0
2018-04-24,474956.0
2018-04-25,459548.0
2018-04-26,433610.0
2018-04-27,405182.0
2018-05-02,384236.0
2018-05-03,394976.0
2018-05-04,413486.0
2018-05-07,423716.0
2018-05-08,413132.0
2018-05-09,420070.0
2018-05-10,428974.0
2018-05-11,441560.0
2018-05-14,436652.0
2018-05-15,436908.0
2018-05-16,429530.0
2018-05-17,424828.0
2018-05-18,537770.0
2018-05-21,525936.0
2018-05-22,550454.0
2018-05-23,504296.0
2018-05-24,503780.0
2018-05-25,505052.0
2018-05-28,461396.0
2018-05-29,449472.0
2018-05-30,415316.0
2018-05-31,403550.0
2018-06-01,399150.0
2018-06-04,445080.0
2018-06-05,443100.0
2018-06-06,474990.0
2018-06-07,496306.0
2018-06-08,423898.0
2018-06-11,418764.0
2018-06-12,435966.0
2018-06-13,420862.0
2018-06-14,422426.0
2018-06-15,410568.0
2018-06-19,392574.0
2018-06-20,383808.0
2018-06-21,389404.0
2018-06-22,385814.0
2018-06-25,385750.0
2018-06-26,392644.0
2018-06-27,409244.0
2018-06-28,413820.0
2018-06-29,423954.0
2018-07-02,415526.0
2018-07-03,437098.0
2018-07-04,434640.0
2018-07-05,457550.0
2018-07-06,477376.0
2018-07-09,544870.0
2018-07-10,554850.0
2018-07-11,561160.0
2018-07-12,500386.0
2018-07-13,486010.0
2018-07-16,476886.0
2018-07-17,477584.0
2018-07-18,468994.0
2018-07-19,473234.0
2018-07-20,502876.0
2018-07-23,510348.0
2018-07-24,511126.0
2018-07-25,521540.0
2018-07-26,499774.0
2018-07-27,494338.0
2018-07-30,505156.0
2018-07-31,494450.0
2018-08-01,482852.0
2018-08-02,471658.0
2018-08-03,489126.0
2018-08-06,488726.0
2018-08-07,545536.0
2018-08-08,534456.0
2018-08-09,544734.0
2018-08-10,545028.0
2018-08-13,559898.0
2018-08-14,549988.0
2018-08-15,549098.0
2018-08-16,496112.0
2018-08-17,479162.0
2018-08-20,487342.0
2018-08-21,489324.0
2018-08-22,509898.0
2018-08-23,499224.0
2018-08-24,489840.0
2018-08-27,479940.0
2018-08-28,477124.0
2018-08-29,472390.0
2018-08-30,505866.0
2018-08-31,538968.0
2018-09-03,547094.0
2018-09-04,555330.0
2018-09-05,544658.0
2018-09-06,620362.0
2018-09-07,708400.0
2018-09-10,818832.0
2018-09-11,724268.0
2018-09-12,700936.0
2018-09-13,688856.0
2018-09-14,688098.0
2018-09-17,660056.0
2018-09-18,628624.0
2018-09-19,614090.0
2018-09-20,608696.0
2018-09-21,558236.0
2018-09-25,582674.0
2018-09-26,594668.0
2018-09-27,604936.0
2018-09-28,549430.0
2018-10-08,574746.0
2018-10-09,617108.0
2018-10-10,582644.0
2018-10-11,559512.0
2018-10-12,562752.0
2018-10-15,578140.0
2018-10-16,585772.0
2018-10-17,580540.0
2018-10-18,545914.0
2018-10-19,533220.0
2018-10-22,494726.0
2018-10-23,485660.0
2018-10-24,471560.0
2018-10-25,459942.0
2018-10-26,435926.0
2018-10-29,390642.0
2018-10-30,367542.0
2018-10-31,372794.0
2018-11-01,363278.0
2018-11-02,354872.0
2018-11-05,328212.0
2018-11-06,331952.0
2018-11-07,369280.0
2018-11-08,378214.0
2018-11-09,378028.0
2018-11-12,350438.0
2018-11-13,344704.0
2018-11-14,340590.0
2018-11-15,336486.0
2018-11-16,327618.0
2018-11-19,342374.0
2018-11-20,335796.0
2018-11-21,312530.0
2018-11-22,323438.0
2018-11-23,353672.0
2018-11-26,370162.0
2018-11-27,359098.0
2018-11-28,334864.0
2018-11-29,344102.0
2018-11-30,322730.0
2018-12-03,361656.0
2018-12-04,352250.0
2018-12-05,413692.0
2018-12-06,442810.0
2018-12-07,466150.0
2018-12-10,453004.0
2018-12-11,528652.0
2018-12-12,497664.0
2018-12-13,504810.0
2018-12-14,494964.0
2018-12-17,556228.0
2018-12-18,548118.0
2018-12-19,609428.0
2018-12-20,530036.0
2018-12-21,550316.0
2018-12-24,555920.0
2018-12-25,580284.0
2018-12-26,554356.0
2018-12-27,584540.0
2018-12-28,531338.0
2019-01-02,562258.0
2019-01-03,557562.0
2019-01-04,588990.0
2019-01-07,581262.0
2019-01-08,531216.0
2019-01-09,524522.0
2019-01-10,556754.0
2019-01-11,545104.0
2019-01-14,567166.0
2019-01-15,539906.0
2019-01-16,595202.0
2019-01-17,553772.0
2019-01-18,626816.0
2019-01-21,671186.0
2019-01-22,624490.0
2019-01-23,591502.0
2019-01-24,641356.0
2019-01-25,742010.0
2019-01-28,691436.0
2019-01-29,736122.0
2019-01-30,698370.0
2019-01-31,636534.0
2019-02-01,624820.0
2019-02-11,627700.0
2019-02-12,721762.0
2019-02-13,757334.0
2019-02-14,710572.0
2019-02-15,788182.0
2019-02-18,771582.0
2019-02-19,766026.0
2019-02-20,771006.0
2019-02-21,817186.0
2019-02-22,761956.0
2019-02-25,809296.0
2019-02-26,776468.0
2019-02-27,748730.0
2019-02-28,738390.0
2019-03-01,844932.0
2019-03-04,850614.0
2019-03-05,800128.0
2019-03-06,828794.0
2019-03-07,814828.0
2019-03-08,786136.0
2019-03-11,773412.0
2019-03-12,785146.0
2019-03-13,778618.0
2019-03-14,833932.0
2019-03-15,828886.0
2019-03-18,884438.0
2019-03-19,927260.0
2019-03-20,937810.0
2019-03-21,923724.0
2019-03-22,916288.0
2019-03-25,931780.0
2019-03-26,939050.0
2019-03-27,949498.0
2019-03-28,939482.0
2019-03-29,939768.0
2019-04-01,881102.0
2019-04-02,863508.0
2019-04-03,865098.0
2019-04-04,840266.0
2019-04-08,843286.0
2019-04-09,877130.0
2019-04-10,825730.0
2019-04-11,859694.0
2019-04-12,815694.0
2019-04-15,834200.0
2019-04-16,791206.0
2019-04-17,803318.0
2019-04-18,849574.0
2019-04-19,821726.0
2019-04-22,957828.0
2019-04-23,957906.0
2019-04-24,961006.0
2019-04-25,1127754.0
2019-04-26,1081552.0
2019-04-29,1018292.0
2019-04-30,908712.0
2019-05-06,842840.0
2019-05-07,859438.0
2019-05-08,809380.0
2019-05-09,782630.0
2019-05-10,728908.0
2019-05-13,696622.0
2019-05-14,718214.0
2019-05-15,709296.0
2019-05-16,691098.0
2019-05-17,689516.0
2019-05-20,683528.0
2019-05-21,675710.0
2019-05-22,663074.0
2019-05-23,718368.0
2019-05-24,703874.0
2019-05-27,658376.0
2019-05-28,637316.0
2019-05-29,625816.0
2019-05-30,606970.0
2019-05-31,613936.0
2019-06-03,629254.0
2019-06-04,619600.0
2019-06-05,615570.0
2019-06-06,631224.0
2019-06-10,602292.0
2019-06-11,584362.0
2019-06-12,592948.0
2019-06-13,642736.0
2019-06-14,653968.0
2019-06-17,666400.0
2019-06-18,692192.0
2019-06-19,689642.0
2019-06-20,678216.0
2019-06-21,658208.0
2019-06-24,645250.0
2019-06-25,625326.0
2019-06-26,634398.0
2019-06-27,610916.0
2019-06-28,581068.0
2019-07-01,594290.0
2019-07-02,579600.0
2019-07-03,569492.0
2019-07-04,572126.0
2019-07-05,561944.0
2019-07-08,593034.0
2019-07-09,581486.0
2019-07-10,585202.0
2019-07-11,614032.0
2019-07-12,589350.0
2019-07-15,590820.0
2019-07-16,595852.0
2019-07-17,630678.0
2019-07-18,641398.0
2019-07-19,640746.0
2019-07-22,663296.0
2019-07-23,664936.0
2019-07-24,702486.0
2019-07-25,691924.0
2019-07-26,706788.0
2019-07-29,714988.0
2019-07-30,716100.0
2019-07-31,721614.0
2019-08-01,758716.0
2019-08-02,726484.0
2019-08-05,681308.0
2019-08-06,667772.0
2019-08-07,673074.0
2019-08-08,681176.0
2019-08-09,683398.0
2019-08-12,675832.0
2019-08-13,684952.0
2019-08-14,685936.0
2019-08-15,705910.0
2019-08-16,695300.0
2019-08-19,682770.0
2019-08-20,690016.0
2019-08-21,791922.0
2019-08-22,754250.0
2019-08-23,743436.0
2019-08-26,722744.0
2019-08-27,737716.0
2019-08-28,739452.0
2019-08-29,804440.0
2019-08-30,762658.0
2019-09-02,732266.0
2019-09-03,782782.0
2019-09-04,779252.0
2019-09-05,723434.0
2019-09-06,732076.0
2019-09-09,712112.0
2019-09-10,702442.0
2019-09-11,721986.0
2019-09-12,718400.0
2019-09-16,616878.0
2019-09-17,637470.0
2019-09-18,594026.0
2019-09-19,590786.0
2019-09-20,607690.0
2019-09-23,594826.0
2019-09-24,600922.0
2019-09-25,615900.0
2019-09-26,617154.0
2019-09-27,569808.0
2019-09-30,509326.0
2019-10-08,524700.0
2019-10-09,539656.0
2019-10-10,605650.0
2019-10-11,598266.0
2019-10-14,630624.0
2019-10-15,647820.0
2019-10-16,650412.0
2019-10-17,641102.0
2019-10-18,644356.0
2019-10-21,607516.0
2019-10-22,601880.0
2019-10-23,605746.0
2019-10-24,606776.0
2019-10-25,595906.0
2019-10-28,579040.0
2019-10-29,586312.0
2019-10-30,555720.0
2019-10-31,565226.0
2019-11-01,539076.0
2019-11-04,542510.0
2019-11-05,509548.0
2019-11-06,499160.0
2019-11-07,507550.0
2019-11-08,485750.0
2019-11-11,525452.0
2019-11-12,535664.0
2019-11-13,522726.0
2019-11-14,512008.0
2019-11-15,510040.0
2019-11-18,508558.0
2019-11-19,496440.0
2019-11-20,483984.0
2019-11-21,469668.0
2019-11-22,466568.0
2019-11-25,445490.0
2019-11-26,437346.0
2019-11-27,438446.0
2019-11-28,406884.0
2019-11-29,422212.0
2019-12-02,404594.0
2019-12-03,397102.0
2019-12-04,387682.0
2019-12-05,419880.0
2019-12-06,417172.0
2019-12-09,463062.0
2019-12-10,484848.0
2019-12-11,479074.0
2019-12-12,503938.0
2019-12-13,484350.0
2019-12-16,529156.0
2019-12-17,536058.0
2019-12-18,536400.0
2019-12-19,579488.0
2019-12-20,578530.0
2019-12-23,563382.0
2019-12-24,566796.0
2019-12-25,579082.0
2019-12-26,565342.0
2019-12-27,613462.0
2019-12-30,580108.0
2019-12-31,540610.0
2020-01-02,277546.0
2020-01-03,277408.0
2020-01-06,283566.0
2020-01-07,260433.0
2020-01-08,254357.0
2020-01-09,239463.0
2020-01-10,242622.0
2020-01-13,248200.0
2020-01-14,239882.0
2020-01-15,234179.0
2020-01-16,219253.0
2020-01-17,229174.0
2020-01-20,214783.0
2020-01-21,214395.0
2020-01-22,204874.0
2020-01-23,193294.0
2020-02-03,201831.0
2020-02-04,209324.0
2020-02-05,236006.0
2020-02-06,247479.0
2020-02-07,262388.0
2020-02-10,270908.0
2020-02-11,303212.0
2020-02-12,318021.0
2020-02-13,330558.0
2020-02-14,352666.0
2020-02-17,357899.0
2020-02-18,363497.0
