trading_date,J_total_oi
2017-08-18,297032.0
2017-08-21,320274.0
2017-08-22,316474.0
2017-08-23,346044.0
2017-08-24,350824.0
2017-08-25,346126.0
2017-08-28,346160.0
2017-08-29,328942.0
2017-08-30,308424.0
2017-08-31,295078.0
2017-09-01,283524.0
2017-09-04,291020.0
2017-09-05,275716.0
2017-09-06,302056.0
2017-09-07,302924.0
2017-09-08,337914.0
2017-09-11,337428.0
2017-09-12,343316.0
2017-09-13,339226.0
2017-09-14,337976.0
2017-09-15,326610.0
2017-09-18,317184.0
2017-09-19,292154.0
2017-09-20,311894.0
2017-09-21,315204.0
2017-09-22,305252.0
2017-09-25,318638.0
2017-09-26,305360.0
2017-09-27,313934.0
2017-09-28,316030.0
2017-09-29,272856.0
2017-10-09,282874.0
2017-10-10,306616.0
2017-10-11,315394.0
2017-10-12,325654.0
2017-10-13,311034.0
2017-10-16,311396.0
2017-10-17,317426.0
2017-10-18,320252.0
2017-10-19,346266.0
2017-10-20,334822.0
2017-10-23,355700.0
2017-10-24,350976.0
2017-10-25,362406.0
2017-10-26,349030.0
2017-10-27,352108.0
2017-10-30,357706.0
2017-10-31,360138.0
2017-11-01,358030.0
2017-11-02,382200.0
2017-11-03,354202.0
2017-11-06,381660.0
2017-11-07,358416.0
2017-11-08,364124.0
2017-11-09,391042.0
2017-11-10,365392.0
2017-11-13,387402.0
2017-11-14,358716.0
2017-11-15,367600.0
2017-11-16,329078.0
2017-11-17,354484.0
2017-11-20,362656.0
2017-11-21,368316.0
2017-11-22,375484.0
2017-11-23,388756.0
2017-11-24,407616.0
2017-11-27,394576.0
2017-11-28,389180.0
2017-11-29,369314.0
2017-11-30,411860.0
2017-12-01,394538.0
2017-12-04,399902.0
2017-12-05,382048.0
2017-12-06,390432.0
2017-12-07,369700.0
2017-12-08,351774.0
2017-12-11,365058.0
2017-12-12,346886.0
2017-12-13,345392.0
2017-12-14,341300.0
2017-12-15,326628.0
2017-12-18,368070.0
2017-12-19,326550.0
2017-12-20,326656.0
2017-12-21,323748.0
2017-12-22,304852.0
2017-12-25,326634.0
2017-12-26,283550.0
2017-12-27,321206.0
2017-12-28,276226.0
2017-12-29,314304.0
2018-01-02,266120.0
2018-01-03,289240.0
2018-01-04,337352.0
2018-01-05,301408.0
2018-01-08,298072.0
2018-01-09,273380.0
2018-01-10,299434.0
2018-01-11,275780.0
2018-01-12,275954.0
2018-01-15,282608.0
2018-01-16,294642.0
2018-01-17,300384.0
2018-01-18,275612.0
2018-01-19,290676.0
2018-01-22,274002.0
2018-01-23,264032.0
2018-01-24,255622.0
2018-01-25,302394.0
2018-01-26,270182.0
2018-01-29,272622.0
2018-01-30,263476.0
2018-01-31,263892.0
2018-02-01,250734.0
2018-02-02,273682.0
2018-02-05,295860.0
2018-02-06,320812.0
2018-02-07,328390.0
2018-02-08,322644.0
2018-02-09,299520.0
2018-02-12,267002.0
2018-02-13,245678.0
2018-02-14,236744.0
2018-02-22,267664.0
2018-02-23,309600.0
2018-02-26,337738.0
2018-02-27,331064.0
2018-02-28,317892.0
2018-03-01,328852.0
2018-03-02,326060.0
2018-03-05,322210.0
2018-03-06,302156.0
2018-03-07,299844.0
2018-03-08,292850.0
2018-03-09,296130.0
2018-03-12,290630.0
2018-03-13,287678.0
2018-03-14,323266.0
2018-03-15,292522.0
2018-03-16,298978.0
2018-03-19,340748.0
2018-03-20,322132.0
2018-03-21,327852.0
2018-03-22,317714.0
2018-03-23,357920.0
2018-03-26,322126.0
2018-03-27,337530.0
2018-03-28,379586.0
2018-03-29,371380.0
2018-03-30,365352.0
2018-04-02,358330.0
2018-04-03,323412.0
2018-04-04,329504.0
2018-04-09,311036.0
2018-04-10,316830.0
2018-04-11,357922.0
2018-04-12,353080.0
2018-04-13,337536.0
2018-04-16,331746.0
2018-04-17,325106.0
2018-04-18,323608.0
2018-04-19,303734.0
2018-04-20,286080.0
2018-04-23,334302.0
2018-04-24,311462.0
2018-04-25,314216.0
2018-04-26,292702.0
2018-04-27,286380.0
2018-05-02,289256.0
2018-05-03,275422.0
2018-05-04,275032.0
2018-05-07,316332.0
2018-05-08,279094.0
2018-05-09,295570.0
2018-05-10,289528.0
2018-05-11,345634.0
2018-05-14,334424.0
2018-05-15,350538.0
2018-05-16,359760.0
2018-05-17,347182.0
2018-05-18,353304.0
2018-05-21,342354.0
2018-05-22,321180.0
2018-05-23,321390.0
2018-05-24,296374.0
2018-05-25,311198.0
2018-05-28,300764.0
2018-05-29,329264.0
2018-05-30,315826.0
2018-05-31,311694.0
2018-06-01,316652.0
2018-06-04,315636.0
2018-06-05,296156.0
2018-06-06,308840.0
2018-06-07,311556.0
2018-06-08,288290.0
2018-06-11,301252.0
2018-06-12,313008.0
2018-06-13,299572.0
2018-06-14,333318.0
2018-06-15,319884.0
2018-06-19,302848.0
