trading_date,CS_total_oi
2017-03-09,1101908.0
2017-03-10,1074994.0
2017-03-13,1077206.0
2017-03-14,1038884.0
2017-03-15,1038932.0
2017-03-16,1058676.0
2017-03-17,1042572.0
2017-03-20,1055484.0
2017-03-21,1087904.0
2017-03-22,1200706.0
2017-03-23,1210234.0
2017-03-24,1229438.0
2017-03-27,1233624.0
2017-03-28,1211814.0
2017-03-29,1113496.0
2017-03-30,1071882.0
2017-03-31,1043360.0
2017-04-05,1047066.0
2017-04-06,1046854.0
2017-04-07,1037316.0
2017-04-10,1043954.0
2017-04-11,1070354.0
2017-04-12,1029042.0
2017-04-13,1038658.0
2017-04-14,997542.0
2017-04-17,957736.0
2017-04-18,969494.0
2017-04-19,965924.0
2017-04-20,936208.0
2017-04-21,935994.0
2017-04-24,935468.0
2017-04-25,938476.0
2017-04-26,928562.0
2017-04-27,962850.0
2017-04-28,953980.0
2017-05-02,958678.0
2017-05-03,971378.0
2017-05-04,968072.0
2017-05-05,913202.0
2017-05-08,932488.0
2017-05-09,916488.0
2017-05-10,898404.0
2017-05-11,882242.0
2017-05-12,873886.0
2017-05-15,995870.0
2017-05-16,975804.0
2017-05-17,1001972.0
2017-05-18,997274.0
2017-05-19,969558.0
2017-05-22,1040102.0
2017-05-23,1004116.0
2017-05-24,951568.0
2017-05-25,924262.0
2017-05-26,904834.0
2017-05-31,875654.0
2017-06-01,864764.0
2017-06-02,885546.0
2017-06-05,950736.0
2017-06-06,936906.0
2017-06-07,968952.0
2017-06-08,907152.0
2017-06-09,943134.0
2017-06-12,913790.0
2017-06-13,865294.0
2017-06-14,876646.0
2017-06-15,926662.0
2017-06-16,880468.0
2017-06-19,872452.0
2017-06-20,837200.0
2017-06-21,850484.0
2017-06-22,825886.0
2017-06-23,937284.0
2017-06-26,929090.0
2017-06-27,939548.0
2017-06-28,880738.0
2017-06-29,861522.0
2017-06-30,855716.0
2017-07-03,838930.0
2017-07-04,795112.0
2017-07-05,784612.0
2017-07-06,811222.0
2017-07-07,808948.0
2017-07-10,787444.0
2017-07-11,806836.0
2017-07-12,810728.0
2017-07-13,787896.0
2017-07-14,776114.0
2017-07-17,745262.0
2017-07-18,752912.0
2017-07-19,717242.0
2017-07-20,729212.0
2017-07-21,754698.0
2017-07-24,752468.0
2017-07-25,765600.0
2017-07-26,747596.0
2017-07-27,755076.0
2017-07-28,743506.0
2017-07-31,757422.0
2017-08-01,732874.0
2017-08-02,716588.0
2017-08-03,680544.0
2017-08-04,658704.0
2017-08-07,652248.0
