trading_date,RM_total_oi
2017-09-05,1134460.0
2017-09-06,1127836.0
2017-09-07,1141906.0
2017-09-08,1136040.0
2017-09-11,1096054.0
2017-09-12,1137806.0
2017-09-13,1276158.0
2017-09-14,1169408.0
2017-09-15,1157138.0
2017-09-18,1093550.0
2017-09-19,1093248.0
2017-09-20,1091434.0
2017-09-21,1159216.0
2017-09-22,1289946.0
2017-09-25,1241236.0
2017-09-26,1254896.0
2017-09-27,1249990.0
2017-09-28,1193208.0
2017-09-29,1023708.0
2017-10-09,973280.0
2017-10-10,1013178.0
2017-10-11,1066302.0
2017-10-12,1066334.0
2017-10-13,1161504.0
2017-10-16,1154140.0
2017-10-17,1183662.0
2017-10-18,1154062.0
2017-10-19,1155214.0
2017-10-20,1130456.0
2017-10-23,1191264.0
2017-10-24,1139838.0
2017-10-25,1145106.0
2017-10-26,1147162.0
2017-10-27,1102652.0
2017-10-30,1105536.0
2017-10-31,1126402.0
2017-11-01,1100278.0
2017-11-02,1108082.0
2017-11-03,1107644.0
2017-11-06,1150300.0
2017-11-07,1101874.0
2017-11-08,1094242.0
2017-11-09,1091480.0
2017-11-10,1092716.0
2017-11-13,1086330.0
2017-11-14,1077102.0
2017-11-15,1105154.0
2017-11-16,1100246.0
2017-11-17,1100368.0
2017-11-20,1137478.0
2017-11-21,1144638.0
2017-11-22,1128702.0
2017-11-23,1082178.0
2017-11-24,1094234.0
2017-11-27,1082440.0
2017-11-28,1081092.0
2017-11-29,1060648.0
2017-11-30,1032658.0
2017-12-01,961680.0
2017-12-04,994728.0
2017-12-05,956952.0
2017-12-06,955954.0
2017-12-07,926928.0
2017-12-08,908472.0
2017-12-11,867072.0
2017-12-12,877920.0
2017-12-13,872186.0
2017-12-14,836396.0
2017-12-15,829276.0
2017-12-18,851118.0
2017-12-19,840096.0
2017-12-20,839746.0
2017-12-21,827686.0
2017-12-22,821466.0
2017-12-25,832612.0
2017-12-26,855416.0
2017-12-27,863112.0
2017-12-28,854020.0
2017-12-29,838430.0
2018-01-02,882574.0
2018-01-03,902320.0
2018-01-04,928908.0
2018-01-05,933404.0
2018-01-08,946296.0
2018-01-09,957840.0
2018-01-10,993296.0
2018-01-11,1025460.0
2018-01-12,1052424.0
2018-01-15,1021544.0
2018-01-16,1017724.0
2018-01-17,1018132.0
2018-01-18,1036822.0
2018-01-19,1031358.0
2018-01-22,1010520.0
2018-01-23,978452.0
2018-01-24,982624.0
2018-01-25,1018378.0
2018-01-26,997494.0
2018-01-29,1049772.0
2018-01-30,1082702.0
2018-01-31,1066430.0
2018-02-01,1084726.0
2018-02-02,1065052.0
2018-02-05,1061030.0
2018-02-06,1056074.0
2018-02-07,1090930.0
2018-02-08,1072660.0
2018-02-09,1041228.0
2018-02-12,1081440.0
2018-02-13,1001252.0
2018-02-14,971472.0
2018-02-22,991342.0
2018-02-23,1057852.0
2018-02-26,1083206.0
2018-02-27,1072698.0
2018-02-28,1106174.0
2018-03-01,1133608.0
2018-03-02,1190244.0
2018-03-05,1141450.0
2018-03-06,1129302.0
2018-03-07,1136848.0
2018-03-08,1126694.0
2018-03-09,1103044.0
2018-03-12,1078848.0
2018-03-13,1071334.0
2018-03-14,1086512.0
2018-03-15,1044182.0
2018-03-16,1038188.0
2018-03-19,1009756.0
2018-03-20,987070.0
2018-03-21,992030.0
2018-03-22,996416.0
2018-03-23,978336.0
2018-03-26,1003058.0
2018-03-27,1027598.0
2018-03-28,1031376.0
2018-03-29,1007940.0
2018-03-30,1031114.0
2018-04-02,1026262.0
2018-04-03,1006296.0
2018-04-04,973614.0
2018-04-09,955042.0
2018-04-10,945554.0
2018-04-11,945552.0
2018-04-12,913780.0
2018-04-13,928780.0
2018-04-16,918190.0
2018-04-17,937170.0
2018-04-18,935066.0
2018-04-19,926772.0
2018-04-20,923830.0
2018-04-23,925516.0
2018-04-24,927912.0
2018-04-25,953646.0
2018-04-26,965762.0
2018-04-27,946910.0
2018-05-02,932064.0
2018-05-03,931136.0
2018-05-04,937060.0
2018-05-07,936264.0
2018-05-08,961430.0
2018-05-09,957010.0
2018-05-10,964764.0
2018-05-11,975296.0
2018-05-14,964034.0
2018-05-15,957350.0
