trading_date,SR_total_oi
2017-04-11,1071362.0
2017-04-12,1073738.0
2017-04-13,1061816.0
2017-04-14,1051768.0
2017-04-17,1041910.0
2017-04-18,1073774.0
2017-04-19,1073050.0
2017-04-20,1071020.0
2017-04-21,1077092.0
2017-04-24,1104642.0
2017-04-25,1095184.0
2017-04-26,1070224.0
2017-04-27,1104520.0
2017-04-28,1107364.0
2017-05-02,1073298.0
2017-05-03,1083300.0
2017-05-04,1090266.0
2017-05-05,1077298.0
2017-05-08,1093804.0
2017-05-09,1089526.0
2017-05-10,1103638.0
2017-05-11,1080914.0
2017-05-12,1068318.0
2017-05-15,1075350.0
2017-05-16,1054124.0
2017-05-17,1042140.0
2017-05-18,1039654.0
2017-05-19,1032966.0
2017-05-22,1027500.0
2017-05-23,1016978.0
2017-05-24,1013856.0
2017-05-25,990060.0
2017-05-26,958920.0
2017-05-31,996824.0
2017-06-01,999042.0
2017-06-02,986190.0
2017-06-05,982412.0
2017-06-06,992538.0
2017-06-07,982736.0
2017-06-08,964240.0
2017-06-09,948960.0
2017-06-12,922112.0
2017-06-13,926616.0
2017-06-14,924238.0
2017-06-15,927190.0
2017-06-16,982198.0
2017-06-19,1025958.0
2017-06-20,1019104.0
2017-06-21,1019132.0
2017-06-22,1046336.0
2017-06-23,1016934.0
2017-06-26,1006726.0
2017-06-27,976372.0
2017-06-28,1021136.0
2017-06-29,1035630.0
2017-06-30,1050118.0
2017-07-03,1057836.0
2017-07-04,1081512.0
2017-07-05,1062900.0
2017-07-06,1092772.0
2017-07-07,1118942.0
2017-07-10,1065322.0
2017-07-11,1058538.0
2017-07-12,1062276.0
2017-07-13,1063368.0
2017-07-14,1042848.0
2017-07-17,1063198.0
2017-07-18,1032560.0
2017-07-19,1034342.0
2017-07-20,1023614.0
2017-07-21,1029382.0
2017-07-24,1043800.0
2017-07-25,1045814.0
2017-07-26,1081714.0
2017-07-27,1074648.0
2017-07-28,1093292.0
2017-07-31,1092510.0
2017-08-01,1054064.0
2017-08-02,1051816.0
2017-08-03,1033720.0
2017-08-04,1029318.0
2017-08-07,1016254.0
2017-08-08,1026050.0
2017-08-09,1051516.0
2017-08-10,1041228.0
2017-08-11,1032146.0
2017-08-14,1029580.0
2017-08-15,999038.0
2017-08-16,991896.0
2017-08-17,995220.0
2017-08-18,986408.0
2017-08-21,973602.0
2017-08-22,973942.0
2017-08-23,974598.0
2017-08-24,960022.0
2017-08-25,989732.0
2017-08-28,996066.0
2017-08-29,995174.0
2017-08-30,961248.0
2017-08-31,969502.0
2017-09-01,974966.0
2017-09-04,977036.0
2017-09-05,979920.0
2017-09-06,986150.0
2017-09-07,967260.0
2017-09-08,939630.0
2017-09-11,944308.0
2017-09-12,951540.0
2017-09-13,940596.0
2017-09-14,934912.0
2017-09-15,856636.0
2017-09-18,900610.0
2017-09-19,917820.0
2017-09-20,888734.0
2017-09-21,906350.0
2017-09-22,890258.0
2017-09-25,896706.0
2017-09-26,914380.0
2017-09-27,934334.0
2017-09-28,908894.0
2017-09-29,880784.0
2017-10-09,904888.0
2017-10-10,927642.0
2017-10-11,922526.0
2017-10-12,941510.0
2017-10-13,950398.0
2017-10-16,945078.0
2017-10-17,954974.0
2017-10-18,965560.0
2017-10-19,973906.0
2017-10-20,977926.0
2017-10-23,990648.0
2017-10-24,992538.0
2017-10-25,1036740.0
2017-10-26,1015022.0
2017-10-27,1023256.0
2017-10-30,1023922.0
