trading_date,RB_total_oi
2017-11-03,3970802.0
2017-11-06,4139948.0
2017-11-07,3985084.0
2017-11-08,4019500.0
2017-11-09,4079528.0
2017-11-10,4100382.0
2017-11-13,4150792.0
2017-11-14,4026114.0
2017-11-15,3811896.0
2017-11-16,3790836.0
2017-11-17,3795456.0
2017-11-20,3665232.0
2017-11-21,3643080.0
2017-11-22,3693208.0
2017-11-23,3746784.0
2017-11-24,3662062.0
2017-11-27,3793278.0
2017-11-28,3930142.0
2017-11-29,4263990.0
2017-11-30,4225770.0
2017-12-01,4130362.0
2017-12-04,4204636.0
2017-12-05,4114660.0
2017-12-06,4033308.0
2017-12-07,3772170.0
2017-12-08,3616402.0
2017-12-11,3592650.0
2017-12-12,3605320.0
2017-12-13,3686696.0
2017-12-14,3571054.0
2017-12-15,3405270.0
2017-12-18,3283394.0
2017-12-19,3365130.0
2017-12-20,3305160.0
2017-12-21,3067110.0
2017-12-22,3239874.0
2017-12-25,3063770.0
2017-12-26,3044956.0
2017-12-27,3090546.0
2017-12-28,3233446.0
2017-12-29,2918746.0
2018-01-02,2780146.0
2018-01-03,2801046.0
2018-01-04,2945666.0
2018-01-05,3131046.0
2018-01-08,3112408.0
2018-01-09,2947358.0
2018-01-10,3041206.0
2018-01-11,2960098.0
2018-01-12,3103744.0
2018-01-15,3213210.0
2018-01-16,3005840.0
2018-01-17,3105812.0
2018-01-18,3305468.0
2018-01-19,3541896.0
2018-01-22,3630648.0
2018-01-23,3394702.0
2018-01-24,3518752.0
2018-01-25,3589352.0
2018-01-26,3474148.0
2018-01-29,3449724.0
2018-01-30,3349526.0
2018-01-31,3264302.0
2018-02-01,3339604.0
2018-02-02,3337074.0
2018-02-05,3207932.0
2018-02-06,3143246.0
2018-02-07,3107562.0
2018-02-08,3117818.0
2018-02-09,3036886.0
2018-02-12,2901588.0
2018-02-13,2757420.0
2018-02-14,2659892.0
2018-02-22,2899826.0
2018-02-23,2997396.0
2018-02-26,3075544.0
2018-02-27,3022722.0
2018-02-28,3039194.0
2018-03-01,3106176.0
2018-03-02,3012464.0
2018-03-05,3116128.0
2018-03-06,3255264.0
2018-03-07,3389838.0
2018-03-08,3584146.0
2018-03-09,3549522.0
2018-03-12,3605040.0
2018-03-13,3734662.0
2018-03-14,3730560.0
2018-03-15,3667732.0
2018-03-16,3770116.0
2018-03-19,3938722.0
2018-03-20,3943440.0
2018-03-21,4042318.0
2018-03-22,4096688.0
2018-03-23,3889916.0
