trading_date,JM_total_oi
2016-04-28,332032.0
2016-04-29,316346.0
2016-05-03,312082.0
2016-05-04,295062.0
2016-05-05,283966.0
2016-05-06,270680.0
2016-05-09,284564.0
2016-05-10,288146.0
2016-05-11,268942.0
2016-05-12,272706.0
2016-05-13,259160.0
2016-05-16,258864.0
2016-05-17,277154.0
2016-05-18,244326.0
2016-05-19,263296.0
2016-05-20,278140.0
2016-05-23,269306.0
2016-05-24,228936.0
2016-05-25,220566.0
2016-05-26,227068.0
2016-05-27,213150.0
2016-05-30,211928.0
2016-05-31,207174.0
2016-06-01,202664.0
2016-06-02,202702.0
2016-06-03,215922.0
2016-06-06,224444.0
2016-06-07,205388.0
2016-06-08,193448.0
2016-06-13,222580.0
2016-06-14,247606.0
2016-06-15,230314.0
2016-06-16,224924.0
2016-06-17,203058.0
2016-06-20,200952.0
2016-06-21,196166.0
2016-06-22,212690.0
2016-06-23,210682.0
2016-06-24,213174.0
2016-06-27,214596.0
2016-06-28,203608.0
2016-06-29,218526.0
2016-06-30,202216.0
2016-07-01,205068.0
2016-07-04,209760.0
2016-07-05,186218.0
2016-07-06,182932.0
2016-07-07,170310.0
2016-07-08,157030.0
2016-07-11,163884.0
2016-07-12,211910.0
2016-07-13,192708.0
2016-07-14,175686.0
2016-07-15,166928.0
2016-07-18,162318.0
2016-07-19,143518.0
2016-07-20,142680.0
2016-07-21,144054.0
2016-07-22,137398.0
2016-07-25,159502.0
2016-07-26,150090.0
2016-07-27,157594.0
2016-07-28,170334.0
2016-07-29,178458.0
2016-08-01,190446.0
2016-08-02,200718.0
2016-08-03,196256.0
2016-08-04,184726.0
2016-08-05,191198.0
2016-08-08,217996.0
2016-08-09,208400.0
2016-08-10,228080.0
2016-08-11,224926.0
2016-08-12,236374.0
2016-08-15,245012.0
2016-08-16,246334.0
2016-08-17,227172.0
2016-08-18,227360.0
2016-08-19,212098.0
2016-08-22,215550.0
2016-08-23,228978.0
2016-08-24,225542.0
2016-08-25,231168.0
2016-08-26,218734.0
2016-08-29,241254.0
2016-08-30,265266.0
2016-08-31,248606.0
2016-09-01,250854.0
2016-09-02,303174.0
2016-09-05,309608.0
2016-09-06,329096.0
2016-09-07,329738.0
2016-09-08,321472.0
2016-09-09,335052.0
2016-09-12,318278.0
2016-09-13,302778.0
2016-09-14,285930.0
2016-09-19,288394.0
2016-09-20,318504.0
2016-09-21,325356.0
2016-09-22,347618.0
2016-09-23,346858.0
2016-09-26,374830.0
2016-09-27,348146.0
2016-09-28,374334.0
2016-09-29,390986.0
2016-09-30,369486.0
2016-10-10,378116.0
2016-10-11,406376.0
2016-10-12,415214.0
2016-10-13,412118.0
2016-10-14,452002.0
2016-10-17,459310.0
2016-10-18,505084.0
2016-10-19,548538.0
2016-10-20,569576.0
2016-10-21,573154.0
2016-10-24,603336.0
2016-10-25,573686.0
2016-10-26,542844.0
2016-10-27,536824.0
2016-10-28,527242.0
2016-10-31,523342.0
2016-11-01,589142.0
2016-11-02,546500.0
2016-11-03,563604.0
2016-11-04,543346.0
2016-11-07,471318.0
2016-11-08,418536.0
2016-11-09,431966.0
2016-11-10,413222.0
2016-11-11,353998.0
2016-11-14,330944.0
2016-11-15,335660.0
2016-11-16,324476.0
2016-11-17,323398.0
2016-11-18,333496.0
2016-11-21,311738.0
2016-11-22,303206.0
2016-11-23,284780.0
2016-11-24,290118.0
2016-11-25,259618.0
2016-11-28,235908.0
2016-11-29,236868.0
2016-11-30,237718.0
2016-12-01,237584.0
2016-12-02,238548.0
2016-12-05,214468.0
2016-12-06,220602.0
2016-12-07,210402.0
2016-12-08,194324.0
2016-12-09,220210.0
2016-12-12,218898.0
2016-12-13,229002.0
2016-12-14,231968.0
2016-12-15,214462.0
2016-12-16,197130.0
2016-12-19,221976.0
2016-12-20,239162.0
2016-12-21,226172.0
2016-12-22,205978.0
2016-12-23,195296.0
2016-12-26,208900.0
2016-12-27,194778.0
2016-12-28,196294.0
2016-12-29,190180.0
2016-12-30,178302.0
2017-01-03,188466.0
2017-01-04,189458.0
2017-01-05,179528.0
2017-01-06,184938.0
2017-01-09,184062.0
2017-01-10,198808.0
2017-01-11,182078.0
2017-01-12,187512.0
2017-01-13,176654.0
2017-01-16,170310.0
2017-01-17,158562.0
2017-01-18,144522.0
2017-01-19,147426.0
2017-01-20,137658.0
2017-01-23,135850.0
2017-01-24,133010.0
2017-01-25,127626.0
2017-01-26,121948.0
2017-02-03,119804.0
2017-02-06,127870.0
2017-02-07,122064.0
2017-02-08,133550.0
2017-02-09,147684.0
2017-02-10,160696.0
2017-02-13,150550.0
2017-02-14,158330.0
2017-02-15,158548.0
2017-02-16,164126.0
2017-02-17,150688.0
2017-02-20,152136.0
2017-02-21,146522.0
2017-02-22,137440.0
2017-02-23,129818.0
2017-02-24,128952.0
2017-02-27,137060.0
2017-02-28,130166.0
2017-03-01,162406.0
2017-03-02,151064.0
2017-03-03,151538.0
2017-03-06,147654.0
2017-03-07,147344.0
2017-03-08,135348.0
2017-03-09,140934.0
2017-03-10,148816.0
2017-03-13,165544.0
2017-03-14,156602.0
2017-03-15,167676.0
2017-03-16,157622.0
2017-03-17,157144.0
2017-03-20,159574.0
2017-03-21,158370.0
2017-03-22,158254.0
2017-03-23,166952.0
2017-03-24,156832.0
2017-03-27,162502.0
2017-03-28,155366.0
2017-03-29,157652.0
2017-03-30,158246.0
2017-03-31,160296.0
2017-04-05,194166.0
2017-04-06,218530.0
2017-04-07,201220.0
2017-04-10,209092.0
2017-04-11,200624.0
2017-04-12,201552.0
2017-04-13,201418.0
2017-04-14,233642.0
2017-04-17,224838.0
2017-04-18,233792.0
2017-04-19,235778.0
2017-04-20,234462.0
2017-04-21,211068.0
2017-04-24,229492.0
2017-04-25,225068.0
2017-04-26,241708.0
2017-04-27,221448.0
2017-04-28,216468.0
2017-05-02,207412.0
2017-05-03,220992.0
2017-05-04,223174.0
2017-05-05,225432.0
2017-05-08,218592.0
2017-05-09,213134.0
2017-05-10,217724.0
2017-05-11,270076.0
2017-05-12,272134.0
2017-05-15,268738.0
2017-05-16,253558.0
2017-05-17,256188.0
2017-05-18,242578.0
2017-05-19,252688.0
2017-05-22,242782.0
2017-05-23,260822.0
2017-05-24,247252.0
2017-05-25,237748.0
2017-05-26,246976.0
2017-05-31,272494.0
2017-06-01,269812.0
2017-06-02,271674.0
2017-06-05,258686.0
2017-06-06,255220.0
2017-06-07,240902.0
2017-06-08,244094.0
2017-06-09,266812.0
2017-06-12,258856.0
2017-06-13,257932.0
2017-06-14,284770.0
2017-06-15,262080.0
2017-06-16,293186.0
2017-06-19,303290.0
2017-06-20,305780.0
2017-06-21,329696.0
2017-06-22,329472.0
2017-06-23,325228.0
2017-06-26,323578.0
2017-06-27,324826.0
2017-06-28,327644.0
2017-06-29,350622.0
2017-06-30,340410.0
2017-07-03,352364.0
2017-07-04,349622.0
2017-07-05,359516.0
2017-07-06,350136.0
2017-07-07,349220.0
2017-07-10,365802.0
2017-07-11,373082.0
2017-07-12,359546.0
2017-07-13,388156.0
2017-07-14,359890.0
2017-07-17,372442.0
2017-07-18,379192.0
2017-07-19,378152.0
2017-07-20,348400.0
2017-07-21,360734.0
2017-07-24,351780.0
2017-07-25,365732.0
2017-07-26,355880.0
2017-07-27,347406.0
2017-07-28,348098.0
2017-07-31,352114.0
2017-08-01,327570.0
2017-08-02,370602.0
2017-08-03,378370.0
2017-08-04,379992.0
2017-08-07,409864.0
2017-08-08,395886.0
2017-08-09,366926.0
2017-08-10,347730.0
2017-08-11,345288.0
2017-08-14,329048.0
2017-08-15,323988.0
2017-08-16,342844.0
2017-08-17,378702.0
2017-08-18,365752.0
2017-08-21,366964.0
2017-08-22,331622.0
2017-08-23,307756.0
2017-08-24,325790.0
2017-08-25,309942.0
2017-08-28,303866.0
2017-08-29,307292.0
2017-08-30,296706.0
2017-08-31,295802.0
2017-09-01,294616.0
2017-09-04,300766.0
2017-09-05,299434.0
2017-09-06,301336.0
2017-09-07,320186.0
2017-09-08,314664.0
2017-09-11,343922.0
2017-09-12,332328.0
2017-09-13,323776.0
2017-09-14,314100.0
2017-09-15,347928.0
2017-09-18,329110.0
2017-09-19,309102.0
2017-09-20,314230.0
2017-09-21,344510.0
2017-09-22,320380.0
2017-09-25,356790.0
2017-09-26,357738.0
2017-09-27,349480.0
2017-09-28,351518.0
2017-09-29,328622.0
2017-10-09,346346.0
2017-10-10,367506.0
2017-10-11,382478.0
2017-10-12,375532.0
2017-10-13,366010.0
2017-10-16,353722.0
2017-10-17,337170.0
2017-10-18,318512.0
2017-10-19,334926.0
2017-10-20,311810.0
2017-10-23,326228.0
2017-10-24,340064.0
2017-10-25,339086.0
2017-10-26,329084.0
2017-10-27,360860.0
2017-10-30,367554.0
2017-10-31,410492.0
2017-11-01,361604.0
2017-11-02,384834.0
2017-11-03,348338.0
2017-11-06,357064.0
2017-11-07,323572.0
2017-11-08,338428.0
2017-11-09,352888.0
2017-11-10,344444.0
2017-11-13,345024.0
2017-11-14,320494.0
2017-11-15,319554.0
2017-11-16,293844.0
2017-11-17,289018.0
2017-11-20,308170.0
2017-11-21,294204.0
2017-11-22,331122.0
2017-11-23,314260.0
2017-11-24,340446.0
2017-11-27,308404.0
2017-11-28,322766.0
2017-11-29,299968.0
2017-11-30,349746.0
2017-12-01,326562.0
2017-12-04,326882.0
2017-12-05,317142.0
2017-12-06,300056.0
2017-12-07,295560.0
2017-12-08,278558.0
2017-12-11,252252.0
2017-12-12,245510.0
2017-12-13,240532.0
2017-12-14,258702.0
2017-12-15,233656.0
2017-12-18,267728.0
2017-12-19,328306.0
2017-12-20,304828.0
2017-12-21,347902.0
2017-12-22,300622.0
2017-12-25,308300.0
2017-12-26,264892.0
2017-12-27,293188.0
2017-12-28,255038.0
2017-12-29,286262.0
2018-01-02,258502.0
2018-01-03,295516.0
2018-01-04,302290.0
2018-01-05,275564.0
2018-01-08,327032.0
2018-01-09,308038.0
2018-01-10,321436.0
2018-01-11,334482.0
2018-01-12,331162.0
2018-01-15,319894.0
2018-01-16,355998.0
2018-01-17,323124.0
2018-01-18,309432.0
2018-01-19,308156.0
2018-01-22,317140.0
2018-01-23,294396.0
2018-01-24,300026.0
2018-01-25,272194.0
