trading_date,C_total_oi
2017-06-27,2191824.0
2017-06-28,2159310.0
2017-06-29,2136352.0
2017-06-30,2080754.0
2017-07-03,2153048.0
2017-07-04,2157490.0
2017-07-05,2170950.0
2017-07-06,2168438.0
2017-07-07,2230130.0
2017-07-10,2222836.0
2017-07-11,2281716.0
2017-07-12,2292476.0
2017-07-13,2299790.0
2017-07-14,2219202.0
2017-07-17,2158946.0
2017-07-18,2151636.0
2017-07-19,2153136.0
2017-07-20,2200932.0
2017-07-21,2177234.0
2017-07-24,2090818.0
2017-07-25,2057702.0
2017-07-26,1971620.0
2017-07-27,1939330.0
2017-07-28,1898478.0
2017-07-31,1951786.0
2017-08-01,1928712.0
2017-08-02,1907614.0
2017-08-03,1874834.0
2017-08-04,1847660.0
2017-08-07,1808624.0
2017-08-08,1772828.0
2017-08-09,1726088.0
2017-08-10,1723506.0
2017-08-11,1679390.0
2017-08-14,1663598.0
2017-08-15,1646882.0
2017-08-16,1640310.0
2017-08-17,1710022.0
2017-08-18,1692340.0
2017-08-21,1647498.0
2017-08-22,1695612.0
2017-08-23,1653734.0
2017-08-24,1629146.0
2017-08-25,1594902.0
2017-08-28,1610942.0
2017-08-29,1557328.0
2017-08-30,1550244.0
2017-08-31,1493530.0
2017-09-01,1503312.0
2017-09-04,1423224.0
2017-09-05,1455208.0
2017-09-06,1481720.0
2017-09-07,1459552.0
2017-09-08,1413144.0
2017-09-11,1390626.0
2017-09-12,1400030.0
2017-09-13,1361156.0
2017-09-14,1407166.0
2017-09-15,1340516.0
2017-09-18,1327334.0
2017-09-19,1335292.0
2017-09-20,1304324.0
2017-09-21,1331010.0
2017-09-22,1361824.0
2017-09-25,1376230.0
2017-09-26,1468678.0
2017-09-27,1423364.0
2017-09-28,1241636.0
2017-09-29,1172644.0
2017-10-09,1235938.0
2017-10-10,1315150.0
2017-10-11,1300118.0
2017-10-12,1289290.0
2017-10-13,1269198.0
2017-10-16,1286950.0
2017-10-17,1287166.0
2017-10-18,1329898.0
2017-10-19,1319132.0
2017-10-20,1370824.0
2017-10-23,1408414.0
2017-10-24,1430432.0
2017-10-25,1344474.0
2017-10-26,1358846.0
2017-10-27,1337194.0
2017-10-30,1419644.0
2017-10-31,1441200.0
2017-11-01,1376362.0
2017-11-02,1372952.0
2017-11-03,1372042.0
2017-11-06,1328182.0
2017-11-07,1279428.0
2017-11-08,1252810.0
2017-11-09,1247604.0
2017-11-10,1222286.0
2017-11-13,1251096.0
2017-11-14,1270172.0
2017-11-15,1249752.0
2017-11-16,1293886.0
2017-11-17,1223604.0
2017-11-20,1189016.0
2017-11-21,1218718.0
2017-11-22,1263766.0
2017-11-23,1254598.0
2017-11-24,1230570.0
2017-11-27,1227294.0
2017-11-28,1219848.0
2017-11-29,1240392.0
2017-11-30,1196750.0
2017-12-01,1174514.0
2017-12-04,1233366.0
2017-12-05,1242790.0
2017-12-06,1306170.0
2017-12-07,1204234.0
2017-12-08,1220710.0
2017-12-11,1219148.0
2017-12-12,1211242.0
2017-12-13,1261674.0
2017-12-14,1297956.0
2017-12-15,1334852.0
2017-12-18,1439124.0
2017-12-19,1367636.0
2017-12-20,1381764.0
2017-12-21,1420512.0
2017-12-22,1414096.0
2017-12-25,1404790.0
