trading_date,SM_total_oi
2019-02-13,148108.0
2019-02-14,143332.0
2019-02-15,141108.0
2019-02-18,138480.0
2019-02-19,132744.0
2019-02-20,154148.0
2019-02-21,154468.0
2019-02-22,148678.0
2019-02-25,161232.0
2019-02-26,157706.0
2019-02-27,160564.0
2019-02-28,156582.0
2019-03-01,153150.0
2019-03-04,174660.0
2019-03-05,163384.0
2019-03-06,168098.0
2019-03-07,182842.0
2019-03-08,179562.0
2019-03-11,200852.0
2019-03-12,197108.0
2019-03-13,208258.0
2019-03-14,192558.0
2019-03-15,190552.0
2019-03-18,173046.0
2019-03-19,176356.0
2019-03-20,179120.0
2019-03-21,169640.0
2019-03-22,185052.0
2019-03-25,170990.0
2019-03-26,161066.0
2019-03-27,159756.0
2019-03-28,158458.0
2019-03-29,164174.0
2019-04-01,157042.0
2019-04-02,158196.0
2019-04-03,146880.0
2019-04-04,155398.0
2019-04-08,156624.0
2019-04-09,156164.0
2019-04-10,151420.0
2019-04-11,157140.0
2019-04-12,146660.0
2019-04-15,149638.0
2019-04-16,141100.0
2019-04-17,133792.0
2019-04-18,135140.0
2019-04-19,131990.0
2019-04-22,142670.0
2019-04-23,131510.0
2019-04-24,137136.0
2019-04-25,133234.0
2019-04-26,127698.0
2019-04-29,114196.0
2019-04-30,112506.0
2019-05-06,138658.0
2019-05-07,146158.0
2019-05-08,146528.0
2019-05-09,140656.0
2019-05-10,137746.0
2019-05-13,132940.0
2019-05-14,126952.0
2019-05-15,126646.0
2019-05-16,125494.0
2019-05-17,120824.0
2019-05-20,140866.0
2019-05-21,139208.0
2019-05-22,133116.0
2019-05-23,131338.0
2019-05-24,132294.0
2019-05-27,127396.0
2019-05-28,138938.0
2019-05-29,137608.0
2019-05-30,137098.0
2019-05-31,147340.0
2019-06-03,134728.0
2019-06-04,136394.0
2019-06-05,140788.0
2019-06-06,136028.0
2019-06-10,134798.0
2019-06-11,157212.0
2019-06-12,156980.0
2019-06-13,167946.0
2019-06-14,163502.0
2019-06-17,170380.0
2019-06-18,173102.0
2019-06-19,173498.0
