trading_date,PB_total_oi
2018-03-12,75178.0
2018-03-13,78060.0
2018-03-14,74528.0
2018-03-15,81036.0
2018-03-16,71534.0
2018-03-19,72218.0
2018-03-20,70238.0
2018-03-21,75958.0
2018-03-22,87804.0
2018-03-23,82362.0
2018-03-26,80334.0
2018-03-27,81998.0
2018-03-28,85568.0
2018-03-29,85494.0
2018-03-30,86724.0
2018-04-02,87332.0
2018-04-03,85166.0
2018-04-04,81906.0
2018-04-09,80070.0
2018-04-10,76290.0
2018-04-11,76052.0
2018-04-12,86104.0
2018-04-13,88460.0
2018-04-16,89502.0
2018-04-17,85508.0
2018-04-18,84000.0
2018-04-19,79786.0
2018-04-20,80160.0
2018-04-23,80668.0
2018-04-24,80838.0
2018-04-25,81030.0
2018-04-26,81966.0
2018-04-27,84230.0
2018-05-02,90704.0
2018-05-03,92042.0
2018-05-04,95798.0
2018-05-07,107482.0
2018-05-08,108564.0
2018-05-09,113850.0
2018-05-10,115398.0
2018-05-11,122808.0
2018-05-14,125522.0
2018-05-15,125700.0
2018-05-16,120092.0
2018-05-17,121020.0
2018-05-18,125578.0
2018-05-21,133124.0
2018-05-22,130328.0
2018-05-23,127368.0
2018-05-24,133100.0
2018-05-25,129488.0
2018-05-28,122850.0
2018-05-29,123904.0
2018-05-30,120590.0
2018-05-31,119334.0
2018-06-01,116842.0
2018-06-04,118186.0
2018-06-05,140862.0
2018-06-06,137086.0
2018-06-07,131062.0
2018-06-08,119830.0
2018-06-11,120768.0
2018-06-12,119516.0
2018-06-13,117086.0
2018-06-14,115134.0
2018-06-15,112762.0
2018-06-19,108416.0
2018-06-20,103974.0
2018-06-21,104112.0
2018-06-22,104836.0
2018-06-25,108502.0
2018-06-26,113076.0
2018-06-27,116678.0
2018-06-28,131598.0
2018-06-29,127568.0
2018-07-02,123114.0
2018-07-03,121234.0
2018-07-04,115106.0
2018-07-05,114568.0
2018-07-06,109632.0
2018-07-09,105954.0
2018-07-10,103556.0
2018-07-11,99392.0
2018-07-12,99648.0
2018-07-13,99040.0
2018-07-16,99164.0
2018-07-17,96134.0
2018-07-18,96170.0
2018-07-19,96742.0
2018-07-20,98518.0
2018-07-23,98002.0
2018-07-24,97576.0
2018-07-25,103548.0
2018-07-26,102818.0
2018-07-27,99402.0
2018-07-30,101132.0
2018-07-31,104868.0
2018-08-01,106570.0
2018-08-02,105052.0
2018-08-03,103042.0
2018-08-06,101754.0
2018-08-07,103658.0
2018-08-08,102284.0
2018-08-09,103798.0
2018-08-10,103324.0
2018-08-13,104774.0
2018-08-14,105422.0
2018-08-15,105454.0
2018-08-16,104202.0
2018-08-17,105594.0
2018-08-20,106346.0
2018-08-21,106646.0
2018-08-22,109936.0
2018-08-23,111772.0
2018-08-24,117674.0
2018-08-27,114704.0
2018-08-28,112352.0
2018-08-29,110928.0
2018-08-30,118374.0
2018-08-31,125740.0
2018-09-03,127918.0
2018-09-04,123264.0
2018-09-05,121784.0
2018-09-06,121514.0
2018-09-07,124504.0
2018-09-10,129548.0
2018-09-11,120846.0
2018-09-12,122824.0
2018-09-13,118824.0
2018-09-14,116028.0
2018-09-17,113758.0
2018-09-18,107708.0
2018-09-19,107068.0
2018-09-20,107538.0
2018-09-21,106744.0
2018-09-25,104792.0
2018-09-26,99146.0
2018-09-27,95468.0
2018-09-28,92690.0
2018-10-08,92932.0
2018-10-09,92460.0
2018-10-10,97330.0
2018-10-11,103922.0
2018-10-12,106130.0
2018-10-15,107142.0
2018-10-16,102692.0
2018-10-17,102400.0
2018-10-18,99466.0
2018-10-19,97798.0
2018-10-22,95968.0
2018-10-23,95100.0
2018-10-24,90214.0
2018-10-25,92394.0
2018-10-26,94644.0
2018-10-29,96968.0
2018-10-30,98406.0
2018-10-31,99044.0
2018-11-01,109442.0
2018-11-02,106630.0
2018-11-05,104260.0
2018-11-06,101536.0
2018-11-07,98400.0
2018-11-08,97856.0
2018-11-09,96182.0
2018-11-12,96522.0
2018-11-13,96402.0
2018-11-14,95414.0
2018-11-15,99106.0
2018-11-16,98482.0
2018-11-19,94992.0
2018-11-20,92938.0
2018-11-21,92666.0
2018-11-22,97050.0
