trading_date,SN_total_oi
2021-08-19,49043.0
2021-08-20,45995.0
2021-08-23,44825.0
2021-08-24,45191.0
2021-08-25,46236.0
2021-08-26,49097.0
2021-08-27,55972.0
2021-08-30,56589.0
2021-08-31,56303.0
2021-09-01,55429.0
2021-09-02,57379.0
2021-09-03,53019.0
2021-09-06,51231.0
2021-09-07,50901.0
2021-09-08,49855.0
2021-09-09,54324.0
2021-09-10,57047.0
2021-09-13,56713.0
2021-09-14,53263.0
2021-09-15,52688.0
2021-09-16,53902.0
2021-09-17,52392.0
2021-09-22,58438.0
2021-09-23,56942.0
2021-09-24,58653.0
2021-09-27,52138.0
2021-09-28,48520.0
2021-09-29,44970.0
2021-09-30,40506.0
2021-10-08,43136.0
2021-10-11,51694.0
