trading_date,CU_total_oi
2017-06-12,575162.0
2017-06-13,573816.0
2017-06-14,561322.0
2017-06-15,547820.0
2017-06-16,537558.0
2017-06-19,530482.0
2017-06-20,534988.0
2017-06-21,538750.0
2017-06-22,531230.0
2017-06-23,555038.0
2017-06-26,568368.0
2017-06-27,563296.0
2017-06-28,571378.0
2017-06-29,625240.0
2017-06-30,617010.0
2017-07-03,617736.0
2017-07-04,609980.0
2017-07-05,608620.0
2017-07-06,599598.0
2017-07-07,597938.0
2017-07-10,588584.0
2017-07-11,588338.0
2017-07-12,591110.0
2017-07-13,590972.0
2017-07-14,588664.0
2017-07-17,611798.0
2017-07-18,601008.0
2017-07-19,611524.0
2017-07-20,609342.0
2017-07-21,619126.0
2017-07-24,609080.0
2017-07-25,647252.0
2017-07-26,723376.0
2017-07-27,721838.0
2017-07-28,715004.0
2017-07-31,729642.0
2017-08-01,717854.0
2017-08-02,716282.0
2017-08-03,711138.0
2017-08-04,720880.0
2017-08-07,715790.0
2017-08-08,719486.0
2017-08-09,738190.0
2017-08-10,716218.0
2017-08-11,691356.0
2017-08-14,705876.0
2017-08-15,705078.0
2017-08-16,697078.0
2017-08-17,713344.0
2017-08-18,706722.0
2017-08-21,715488.0
2017-08-22,721630.0
2017-08-23,700764.0
2017-08-24,703138.0
2017-08-25,711536.0
2017-08-28,699510.0
2017-08-29,682120.0
2017-08-30,686340.0
2017-08-31,687030.0
2017-09-01,669580.0
2017-09-04,667022.0
2017-09-05,681768.0
2017-09-06,657270.0
2017-09-07,646930.0
2017-09-08,637514.0
2017-09-11,642120.0
2017-09-12,641632.0
2017-09-13,650630.0
2017-09-14,641874.0
2017-09-15,641890.0
2017-09-18,632016.0
2017-09-19,626904.0
2017-09-20,622388.0
2017-09-21,623390.0
2017-09-22,622290.0
2017-09-25,607656.0
2017-09-26,605284.0
2017-09-27,599566.0
2017-09-28,594650.0
2017-09-29,577070.0
2017-10-09,585994.0
2017-10-10,622018.0
2017-10-11,657610.0
2017-10-12,697762.0
2017-10-13,703596.0
2017-10-16,763652.0
2017-10-17,732158.0
2017-10-18,729392.0
2017-10-19,723006.0
2017-10-20,731760.0
2017-10-23,718620.0
2017-10-24,752186.0
2017-10-25,732160.0
2017-10-26,730648.0
2017-10-27,720878.0
2017-10-30,705440.0
2017-10-31,696732.0
2017-11-01,694248.0
2017-11-02,683460.0
2017-11-03,707166.0
2017-11-06,717830.0
2017-11-07,716624.0
2017-11-08,713794.0
2017-11-09,704038.0
2017-11-10,697376.0
2017-11-13,697420.0
2017-11-14,771294.0
2017-11-15,767946.0
2017-11-16,761826.0
2017-11-17,769062.0
2017-11-20,767552.0
2017-11-21,765674.0
2017-11-22,770054.0
2017-11-23,770546.0
2017-11-24,780344.0
2017-11-27,767562.0
2017-11-28,752600.0
2017-11-29,759172.0
2017-11-30,771698.0
2017-12-01,764690.0
2017-12-04,744918.0
2017-12-05,763750.0
2017-12-06,768378.0
2017-12-07,771928.0
2017-12-08,767264.0
2017-12-11,770862.0
2017-12-12,727698.0
2017-12-13,721668.0
2017-12-14,714510.0
2017-12-15,708712.0
2017-12-18,692788.0
2017-12-19,697092.0
2017-12-20,704570.0
2017-12-21,713078.0
2017-12-22,723496.0
2017-12-25,734294.0
2017-12-26,746422.0
2017-12-27,749010.0
2017-12-28,774494.0
2017-12-29,757066.0
2018-01-02,744996.0
2018-01-03,737808.0
2018-01-04,744792.0
2018-01-05,727132.0
2018-01-08,712312.0
2018-01-09,717604.0
2018-01-10,703592.0
2018-01-11,703464.0
2018-01-12,691738.0
2018-01-15,695964.0
2018-01-16,667548.0
2018-01-17,654296.0
2018-01-18,651674.0
2018-01-19,652432.0
2018-01-22,660024.0
2018-01-23,674340.0
2018-01-24,720210.0
2018-01-25,727226.0
2018-01-26,743972.0
2018-01-29,759336.0
2018-01-30,765004.0
2018-01-31,761228.0
2018-02-01,756490.0
2018-02-02,764192.0
2018-02-05,769802.0
2018-02-06,773858.0
2018-02-07,780404.0
2018-02-08,785766.0
2018-02-09,795296.0
2018-02-12,793354.0
2018-02-13,811170.0
2018-02-14,792182.0
2018-02-22,780660.0
2018-02-23,806984.0
2018-02-26,823752.0
2018-02-27,831046.0
2018-02-28,847412.0
2018-03-01,855760.0
2018-03-02,859790.0
2018-03-05,867046.0
2018-03-06,880408.0
2018-03-07,876738.0
2018-03-08,873094.0
2018-03-09,873982.0
2018-03-12,877778.0
2018-03-13,884420.0
2018-03-14,875642.0
2018-03-15,872146.0
2018-03-16,852498.0
2018-03-19,871728.0
