trading_date,A_total_oi
2017-10-11,269976.0
2017-10-12,251324.0
2017-10-13,238258.0
2017-10-16,250960.0
2017-10-17,304336.0
2017-10-18,328348.0
2017-10-19,347512.0
2017-10-20,345762.0
2017-10-23,372510.0
2017-10-24,402010.0
2017-10-25,408082.0
2017-10-26,428200.0
2017-10-27,438680.0
2017-10-30,443068.0
2017-10-31,440738.0
2017-11-01,444666.0
2017-11-02,446278.0
2017-11-03,444808.0
2017-11-06,436190.0
2017-11-07,402632.0
2017-11-08,398562.0
2017-11-09,383438.0
2017-11-10,375754.0
2017-11-13,376508.0
2017-11-14,385254.0
2017-11-15,382326.0
2017-11-16,383884.0
2017-11-17,383386.0
2017-11-20,377112.0
2017-11-21,357620.0
2017-11-22,350188.0
2017-11-23,356292.0
2017-11-24,355850.0
2017-11-27,354960.0
2017-11-28,356280.0
2017-11-29,358022.0
2017-11-30,379818.0
2017-12-01,365662.0
2017-12-04,364168.0
2017-12-05,363496.0
2017-12-06,365108.0
2017-12-07,361050.0
2017-12-08,359262.0
2017-12-11,360188.0
2017-12-12,371188.0
2017-12-13,368824.0
2017-12-14,359210.0
2017-12-15,357296.0
2017-12-18,338936.0
2017-12-19,334510.0
2017-12-20,331316.0
2017-12-21,304546.0
2017-12-22,306010.0
2017-12-25,278954.0
2017-12-26,267276.0
2017-12-27,273142.0
2017-12-28,278376.0
2017-12-29,279258.0
2018-01-02,268574.0
2018-01-03,267834.0
2018-01-04,271320.0
2018-01-05,269350.0
2018-01-08,268096.0
2018-01-09,274004.0
2018-01-10,275424.0
2018-01-11,275450.0
2018-01-12,278514.0
2018-01-15,278252.0
2018-01-16,289708.0
2018-01-17,302592.0
2018-01-18,302306.0
2018-01-19,332342.0
2018-01-22,339086.0
2018-01-23,341154.0
2018-01-24,349196.0
2018-01-25,340992.0
2018-01-26,344760.0
2018-01-29,343128.0
2018-01-30,338630.0
2018-01-31,338870.0
2018-02-01,371144.0
2018-02-02,355106.0
2018-02-05,324798.0
2018-02-06,318354.0
2018-02-07,308626.0
2018-02-08,287786.0
2018-02-09,264298.0
2018-02-12,254376.0
2018-02-13,244782.0
2018-02-14,230720.0
2018-02-22,239392.0
2018-02-23,248688.0
2018-02-26,255752.0
2018-02-27,257842.0
2018-02-28,256646.0
2018-03-01,256100.0
2018-03-02,258372.0
2018-03-05,249704.0
2018-03-06,236910.0
2018-03-07,231876.0
2018-03-08,233220.0
2018-03-09,221498.0
2018-03-12,212664.0
2018-03-13,207980.0
2018-03-14,204624.0
2018-03-15,207130.0
2018-03-16,236300.0
2018-03-19,236294.0
2018-03-20,234018.0
2018-03-21,227854.0
2018-03-22,225778.0
2018-03-23,240410.0
2018-03-26,239962.0
2018-03-27,231182.0
2018-03-28,224754.0
2018-03-29,230688.0
2018-03-30,223304.0
2018-04-02,241208.0
2018-04-03,248298.0
2018-04-04,272716.0
