trading_date,RS_total_oi
2018-03-14,12.0
2018-03-15,12.0
2018-03-16,12.0
2018-03-19,12.0
2018-03-20,12.0
2018-03-21,10.0
2018-03-22,18.0
2018-03-23,18.0
2018-03-26,18.0
2018-03-27,18.0
2018-03-28,18.0
2018-03-29,14.0
2018-03-30,10.0
2018-04-02,2.0
2018-04-03,2.0
2018-04-04,4.0
2018-04-09,16.0
2018-04-10,22.0
2018-04-11,14.0
2018-04-12,12.0
2018-04-13,10.0
2018-04-16,12.0
2018-04-17,14.0
2018-04-18,10.0
2018-04-19,10.0
2018-04-20,12.0
2018-04-23,14.0
2018-04-24,14.0
2018-04-25,14.0
2018-04-26,12.0
2018-04-27,12.0
2018-05-02,14.0
2018-05-03,14.0
2018-05-04,14.0
2018-05-07,14.0
2018-05-08,14.0
2018-05-09,14.0
2018-05-10,14.0
2018-05-11,12.0
2018-05-14,12.0
2018-05-15,12.0
2018-05-16,10.0
2018-05-17,8.0
2018-05-18,8.0
2018-05-21,8.0
2018-05-22,8.0
2018-05-23,8.0
2018-05-24,8.0
2018-05-25,8.0
2018-05-28,8.0
2018-05-29,8.0
2018-05-30,8.0
2018-05-31,10.0
2018-06-01,10.0
2018-06-04,10.0
2018-06-05,10.0
2018-06-06,8.0
2018-06-07,8.0
2018-06-08,20.0
2018-06-11,10.0
2018-06-12,10.0
2018-06-13,20.0
2018-06-14,14.0
2018-06-15,16.0
2018-06-19,12.0
2018-06-20,8.0
2018-06-21,96.0
2018-06-22,68.0
2018-06-25,44.0
2018-06-26,36.0
2018-06-27,48.0
2018-06-28,40.0
2018-06-29,22.0
2018-07-02,22.0
2018-07-03,20.0
2018-07-04,16.0
2018-07-05,18.0
2018-07-06,24.0
2018-07-09,20.0
2018-07-10,16.0
2018-07-11,16.0
2018-07-12,16.0
2018-07-13,12.0
2018-07-16,12.0
2018-07-17,14.0
2018-07-18,14.0
2018-07-19,14.0
2018-07-20,14.0
2018-07-23,14.0
2018-07-24,12.0
2018-07-25,12.0
2018-07-26,12.0
2018-07-27,12.0
2018-07-30,12.0
2018-07-31,10.0
2018-08-01,10.0
2018-08-02,10.0
2018-08-03,12.0
2018-08-06,12.0
2018-08-07,12.0
2018-08-08,12.0
2018-08-09,12.0
2018-08-10,12.0
2018-08-13,12.0
2018-08-14,12.0
2018-08-15,12.0
2018-08-16,12.0
2018-08-17,10.0
2018-08-20,6.0
2018-08-21,6.0
2018-08-22,6.0
2018-08-23,4.0
2018-08-24,8.0
2018-08-27,6.0
2018-08-28,4.0
2018-08-29,12.0
2018-08-30,28.0
2018-08-31,20.0
2018-09-03,18.0
2018-09-04,20.0
2018-09-05,20.0
2018-09-06,20.0
2018-09-07,20.0
2018-09-10,12.0
2018-09-11,12.0
2018-09-12,12.0
2018-09-13,22.0
2018-09-14,22.0
2018-09-17,24.0
2018-09-18,26.0
2018-09-19,26.0
2018-09-20,26.0
2018-09-21,24.0
2018-09-25,24.0
2018-09-26,24.0
2018-09-27,24.0
2018-09-28,22.0
2018-10-08,26.0
2018-10-09,30.0
2018-10-10,30.0
2018-10-11,30.0
2018-10-12,30.0
2018-10-15,30.0
2018-10-16,30.0
2018-10-17,30.0
2018-10-18,30.0
2018-10-19,30.0
2018-10-22,30.0
2018-10-23,30.0
2018-10-24,30.0
2018-10-25,30.0
2018-10-26,30.0
2018-10-29,30.0
2018-10-30,30.0
2018-10-31,30.0
2018-11-01,30.0
2018-11-02,30.0
2018-11-05,30.0
2018-11-06,30.0
2018-11-07,30.0
2018-11-08,30.0
2018-11-09,30.0
2018-11-12,30.0
2018-11-13,32.0
2018-11-14,32.0
2018-11-15,32.0
2018-11-16,32.0
2018-11-19,32.0
2018-11-20,32.0
2018-11-21,32.0
2018-11-22,32.0
2018-11-23,32.0
2018-11-26,24.0
2018-11-27,24.0
2018-11-28,24.0
2018-11-29,24.0
2018-11-30,16.0
2018-12-03,16.0
2018-12-04,14.0
2018-12-05,14.0
2018-12-06,14.0
2018-12-07,14.0
2018-12-10,14.0
2018-12-11,14.0
2018-12-12,14.0
2018-12-13,14.0
2018-12-14,16.0
2018-12-17,14.0
2018-12-18,14.0
2018-12-19,14.0
2018-12-20,14.0
2018-12-21,14.0
2018-12-24,14.0
2018-12-25,22.0
2018-12-26,18.0
2018-12-27,14.0
2018-12-28,14.0
2019-01-02,14.0
2019-01-03,14.0
2019-01-04,14.0
2019-01-07,18.0
2019-01-08,18.0
2019-01-09,18.0
2019-01-10,18.0
2019-01-11,18.0
2019-01-14,18.0
2019-01-15,18.0
2019-01-16,18.0
2019-01-17,18.0
