trading_date,Y_total_oi
2015-10-22,910064.0
2015-10-23,880402.0
2015-10-26,876308.0
2015-10-27,869160.0
2015-10-28,831536.0
2015-10-29,845566.0
2015-10-30,866458.0
2015-11-02,877808.0
2015-11-03,864762.0
2015-11-04,870052.0
2015-11-05,858330.0
2015-11-06,866498.0
2015-11-09,887498.0
2015-11-10,891984.0
2015-11-11,917324.0
2015-11-12,902572.0
2015-11-13,881364.0
2015-11-16,906720.0
2015-11-17,919728.0
2015-11-18,921796.0
2015-11-19,897040.0
2015-11-20,884222.0
2015-11-23,878698.0
2015-11-24,952454.0
2015-11-25,951602.0
2015-11-26,950770.0
2015-11-27,934784.0
2015-11-30,863800.0
2015-12-01,913796.0
2015-12-02,918418.0
2015-12-03,913104.0
2015-12-04,915840.0
2015-12-07,906578.0
2015-12-08,873706.0
2015-12-09,879382.0
2015-12-10,850812.0
2015-12-11,811426.0
2015-12-14,799156.0
2015-12-15,795726.0
2015-12-16,783890.0
2015-12-17,797880.0
2015-12-18,788564.0
2015-12-21,801258.0
2015-12-22,816540.0
2015-12-23,791986.0
2015-12-24,773080.0
2015-12-25,750256.0
2015-12-28,735448.0
2015-12-29,735152.0
2015-12-30,795230.0
2015-12-31,804382.0
2016-01-04,777510.0
2016-01-05,787550.0
2016-01-06,770276.0
2016-01-07,784806.0
2016-01-08,788680.0
2016-01-11,788812.0
2016-01-12,792854.0
2016-01-13,801992.0
2016-01-14,863522.0
2016-01-15,853536.0
2016-01-18,848874.0
2016-01-19,887638.0
2016-01-20,897364.0
2016-01-21,906018.0
2016-01-22,907670.0
2016-01-25,891624.0
2016-01-26,907292.0
2016-01-27,898262.0
2016-01-28,904060.0
2016-01-29,890794.0
2016-02-01,890404.0
2016-02-02,894968.0
2016-02-03,881392.0
2016-02-04,891290.0
2016-02-05,909026.0
2016-02-15,941616.0
2016-02-16,988368.0
2016-02-17,1024210.0
2016-02-18,1019150.0
2016-02-19,1047180.0
2016-02-22,1079972.0
2016-02-23,1077950.0
2016-02-24,1067246.0
2016-02-25,1069236.0
2016-02-26,1052264.0
2016-02-29,1038624.0
2016-03-01,1036482.0
2016-03-02,1097780.0
2016-03-03,1057850.0
2016-03-04,1073536.0
2016-03-07,1084836.0
2016-03-08,1101486.0
2016-03-09,1103656.0
2016-03-10,1103820.0
2016-03-11,1283802.0
2016-03-14,1310424.0
2016-03-15,1229944.0
2016-03-16,1215296.0
2016-03-17,1295794.0
2016-03-18,1364988.0
2016-03-21,1367448.0
2016-03-22,1327526.0
2016-03-23,1256314.0
2016-03-24,1199150.0
2016-03-25,1179332.0
2016-03-28,1182640.0
2016-03-29,1184378.0
2016-03-30,1171132.0
2016-03-31,1182422.0
2016-04-01,1310890.0
2016-04-05,1324328.0
2016-04-06,1228968.0
2016-04-07,1220688.0
2016-04-08,1197760.0
2016-04-11,1221402.0
2016-04-12,1243354.0
2016-04-13,1266504.0
2016-04-14,1262718.0
2016-04-15,1299430.0
2016-04-18,1302782.0
2016-04-19,1295294.0
2016-04-20,1273902.0
2016-04-21,1251064.0
2016-04-22,1141478.0
2016-04-25,1115440.0
2016-04-26,1153442.0
2016-04-27,1133096.0
2016-04-28,1086998.0
2016-04-29,1087690.0
2016-05-03,1093028.0
2016-05-04,1105968.0
2016-05-05,1108722.0
2016-05-06,1064954.0
2016-05-09,1097528.0
2016-05-10,1076076.0
2016-05-11,1096088.0
2016-05-12,1084446.0
2016-05-13,1089804.0
2016-05-16,1045024.0
2016-05-17,1024292.0
2016-05-18,1010542.0
2016-05-19,979586.0
2016-05-20,991534.0
2016-05-23,909906.0
2016-05-24,903864.0
2016-05-25,916340.0
2016-05-26,908862.0
2016-05-27,922188.0
2016-05-30,895846.0
2016-05-31,940678.0
2016-06-01,926220.0
2016-06-02,916556.0
2016-06-03,905936.0
2016-06-06,922928.0
2016-06-07,975024.0
2016-06-08,989144.0
2016-06-13,995842.0
2016-06-14,976464.0
2016-06-15,969540.0
2016-06-16,969972.0
2016-06-17,964776.0
2016-06-20,1005442.0
2016-06-21,1001480.0
2016-06-22,995652.0
2016-06-23,989214.0
2016-06-24,983348.0
2016-06-27,987750.0
2016-06-28,1005282.0
2016-06-29,1044560.0
2016-06-30,1087984.0
2016-07-01,1146692.0
2016-07-04,1200658.0
2016-07-05,1162054.0
2016-07-06,1164160.0
2016-07-07,1067740.0
2016-07-08,1086168.0
2016-07-11,1086778.0
2016-07-12,1111812.0
2016-07-13,1111548.0
2016-07-14,1149474.0
2016-07-15,1156992.0
2016-07-18,1138372.0
2016-07-19,1146570.0
2016-07-20,1151746.0
2016-07-21,1166386.0
2016-07-22,1173818.0
2016-07-25,1165410.0
2016-07-26,1164876.0
2016-07-27,1160622.0
2016-07-28,1179676.0
2016-07-29,1124378.0
2016-08-01,1114606.0
2016-08-02,1111242.0
2016-08-03,1125426.0
2016-08-04,1101942.0
2016-08-05,1091286.0
2016-08-08,1037804.0
2016-08-09,1036928.0
2016-08-10,1053166.0
2016-08-11,1070420.0
2016-08-12,1047918.0
2016-08-15,1076634.0
2016-08-16,1076246.0
2016-08-17,1087118.0
2016-08-18,1092994.0
2016-08-19,1079522.0
2016-08-22,1047848.0
2016-08-23,1051464.0
2016-08-24,1063098.0
2016-08-25,999638.0
2016-08-26,968980.0
2016-08-29,982656.0
2016-08-30,998434.0
2016-08-31,982586.0
2016-09-01,975758.0
2016-09-02,967118.0
2016-09-05,982480.0
2016-09-06,984406.0
2016-09-07,982806.0
2016-09-08,982210.0
2016-09-09,989534.0
2016-09-12,967426.0
2016-09-13,937526.0
2016-09-14,938220.0
2016-09-19,917348.0
2016-09-20,948790.0
2016-09-21,943270.0
2016-09-22,977926.0
2016-09-23,983132.0
2016-09-26,1027766.0
2016-09-27,995030.0
2016-09-28,965838.0
2016-09-29,932796.0
2016-09-30,882916.0
2016-10-10,872558.0
2016-10-11,965176.0
2016-10-12,978600.0
2016-10-13,989472.0
2016-10-14,967538.0
2016-10-17,1147050.0
2016-10-18,1126584.0
2016-10-19,1199910.0
2016-10-20,1210652.0
2016-10-21,1148440.0
2016-10-24,1176422.0
2016-10-25,1191690.0
2016-10-26,1200466.0
2016-10-27,1204922.0
2016-10-28,1187028.0
2016-10-31,1168638.0
2016-11-01,1155920.0
2016-11-02,1120526.0
2016-11-03,1120338.0
2016-11-04,1113850.0
2016-11-07,1094676.0
2016-11-08,1087034.0
2016-11-09,1078656.0
2016-11-10,1110560.0
2016-11-11,1157098.0
2016-11-14,1020166.0
2016-11-15,1002832.0
2016-11-16,995556.0
2016-11-17,1017078.0
2016-11-18,1019236.0
2016-11-21,1006460.0
2016-11-22,1002464.0
2016-11-23,1012832.0
2016-11-24,1011540.0
2016-11-25,1054664.0
2016-11-28,1108778.0
2016-11-29,1106132.0
2016-11-30,1096176.0
2016-12-01,1101638.0
2016-12-02,1086498.0
2016-12-05,1101356.0
2016-12-06,1087152.0
2016-12-07,1104652.0
2016-12-08,1097384.0
