trading_date,I_total_oi
2015-09-22,2068574.0
2015-09-23,2083734.0
2015-09-24,2113712.0
2015-09-25,2034536.0
2015-09-28,2140440.0
2015-09-29,2009060.0
2015-09-30,1986998.0
2015-10-08,2086156.0
2015-10-09,2218210.0
2015-10-12,2267848.0
2015-10-13,2310098.0
2015-10-14,2323866.0
2015-10-15,2302260.0
2015-10-16,2244666.0
2015-10-19,2269606.0
2015-10-20,2329486.0
2015-10-21,2437320.0
2015-10-22,2389928.0
2015-10-23,2363020.0
2015-10-26,2334236.0
2015-10-27,2394402.0
2015-10-28,2423112.0
2015-10-29,2565004.0
2015-10-30,2525296.0
2015-11-02,2512524.0
2015-11-03,2538956.0
2015-11-04,2563954.0
2015-11-05,2424422.0
2015-11-06,2189004.0
2015-11-09,2219086.0
2015-11-10,2219800.0
2015-11-11,2164370.0
2015-11-12,2172974.0
2015-11-13,2155090.0
2015-11-16,2101264.0
2015-11-17,1972320.0
2015-11-18,1987668.0
2015-11-19,2016710.0
2015-11-20,2042778.0
2015-11-23,2107294.0
2015-11-24,2088080.0
2015-11-25,2080662.0
2015-11-26,2009130.0
2015-11-27,1992476.0
2015-11-30,2041654.0
2015-12-01,2026022.0
2015-12-02,2083770.0
2015-12-03,2121130.0
2015-12-04,2101764.0
2015-12-07,2096670.0
2015-12-08,2006938.0
2015-12-09,2087626.0
2015-12-10,2151978.0
2015-12-11,2104312.0
2015-12-14,2166634.0
2015-12-15,2173192.0
2015-12-16,2169148.0
2015-12-17,2135824.0
2015-12-18,2169514.0
2015-12-21,2139446.0
2015-12-22,2182184.0
2015-12-23,2237420.0
2015-12-24,2232174.0
2015-12-25,2135800.0
2015-12-28,2139322.0
2015-12-29,2049882.0
2015-12-30,1997888.0
2015-12-31,1878184.0
2016-01-04,1989090.0
2016-01-05,1972682.0
2016-01-06,1943204.0
2016-01-07,1994006.0
2016-01-08,1921774.0
2016-01-11,1878252.0
2016-01-12,1892258.0
2016-01-13,1955088.0
2016-01-14,1985330.0
2016-01-15,1976454.0
2016-01-18,1927122.0
2016-01-19,1987848.0
2016-01-20,1812870.0
2016-01-21,1810932.0
2016-01-22,1913036.0
2016-01-25,1896406.0
2016-01-26,1937540.0
2016-01-27,2051442.0
2016-01-28,2013792.0
2016-01-29,2052136.0
2016-02-01,2060660.0
2016-02-02,1993756.0
2016-02-03,2027398.0
2016-02-04,1970832.0
2016-02-05,1753214.0
2016-02-15,1850870.0
2016-02-16,2022298.0
2016-02-17,2087308.0
2016-02-18,2296592.0
2016-02-19,2322308.0
2016-02-22,2369206.0
2016-02-23,2116242.0
2016-02-24,2248048.0
2016-02-25,2246018.0
2016-02-26,2231240.0
2016-02-29,2250900.0
2016-03-01,2070322.0
2016-03-02,2042318.0
2016-03-03,2135356.0
2016-03-04,2120892.0
2016-03-07,2104272.0
2016-03-08,2062488.0
2016-03-09,1647416.0
2016-03-10,1811808.0
2016-03-11,1824960.0
2016-03-14,1776436.0
2016-03-15,1809436.0
2016-03-16,1952048.0
2016-03-17,2039634.0
2016-03-18,2118016.0
2016-03-21,2246688.0
2016-03-22,2370888.0
2016-03-23,2348878.0
2016-03-24,2148870.0
2016-03-25,2040942.0
2016-03-28,1996394.0
2016-03-29,1881504.0
